doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
,,,produces,"{('raredisease alpers disease', 'sign increased density of the grey matter in the brain', 'produces'), ('raredisease alpers disease', 'sign liver cirrhosis', 'produces')}","{('anaphor ""it""', 'sign lack of coordination of motor movement', 'produces'), ('raredisease alpers disease', 'sign liver cirrhotic', 'produces'), ('anaphor ""it""', 'sign hypotonia', 'produces'), ('raredisease alpers disease', 'sign blind', 'produces'), ('raredisease alpers disease', 'sign optic atrophy', 'produces')}"
,,,anaphora,set(),"{('raredisease alpers disease', 'anaphor ""this disorder""', 'anaphora')}"
,,,is_a,"{('raredisease alpers disease', 'disease progressive neurologic disorder', 'is_a')}","{('raredisease alpers disease', 'sign mental retardation', 'is_a')}"
,,,increases_risk_of,set(),"{('raredisease alpers disease', 'disease serious liver disease', 'increases_risk_of')}"
13,"{'produces', 'anaphora'}",{'anaphora'},,,
,,,produces,set(),"{('raredisease hereditary ataxia', 'sign ataxias', 'produces'), ('raredisease hereditary ataxia', 'sign ataxia', 'produces')}"
,,,anaphora,"{('raredisease hereditary ataxia', 'anaphor ""hereditary ataxia""', 'anaphora')}","{('raredisease hereditary ataxia', 'anaphor ""it""', 'anaphora')}"
14,set(),set(),,,
15,"{'is_a', 'anaphora', 'increases_risk_of', 'produces', 'is_synon'}",{'produces'},,,
,,,is_a,set(),"{('skinraredisease ichthyosis hystrix', 'skinraredisease ei', 'is_a')}"
,,,anaphora,set(),"{('skinraredisease ei', 'anaphor ""it""', 'anaphora')}"
,,,increases_risk_of,set(),"{('skinraredisease ei', 'disease skin infections', 'increases_risk_of')}"
,,,produces,"{('skinraredisease ei', 'sign brown-grey hyperkeratotic spines', 'produces'), ('skinraredisease ei', 'sign ichthyosis hystrix', 'produces'), ('skinraredisease ei', 'sign skin infections', 'produces'), ('skinraredisease ei', 'sign red, blistering and denuded skin with visible areas of skin thickening', 'produces'), ('skinraredisease ei', 'sign heat intolerance', 'produces')}","{('skinraredisease palmoplantar keratoderma', 'sign limit hand function', 'produces'), ('skinraredisease ichthyosis hystrix', 'sign brown-grey hyperkeratotic spines', 'produces'), ('skinraredisease ei', 'symptom heat intolerance', 'produces'), ('skinraredisease palmoplantar keratoderma', 'sign limit ambulation', 'produces'), ('skinraredisease ei', 'sign blistering', 'produces'), ('skinraredisease ei', 'sign red, blistering and denuded skin', 'produces')}"
,,,is_synon,set(),"{('skinraredisease curth-macklin', 'skinraredisease ichthyosis hystrix', 'is_synon')}"
16,"{'produces', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,produces,"{('raredisease banti syndrome', 'sign hypertension within, hepatic veins', 'produces'), ('raredisease banti syndrome', 'sign vascular obstruction of the liver', 'produces'), ('disease cirrhosis', 'sign vascular obstruction of the liver', 'produces'), ('raredisease banti syndrome', 'sign spleen rapidly but prematurely destroys blood cells', 'produces'), ('raredisease banti syndrome', 'sign hypertension within, splenic veins', 'produces')}","{('raredisease banti syndrome', 'sign obstruction of hepatic or portal veins', 'produces'), ('anaphor ""it""', 'sign increased arsenic levels', 'produces'), ('raredisease banti syndrome', 'sign cirrhosis', 'produces'), ('raredisease banti syndrome', 'sign congenital blood clots', 'produces'), ('raredisease banti syndrome', 'sign hypertension splenic veins hepatic or portal veins', 'produces'), ('raredisease banti syndrome', 'sign vascular obstruction', 'produces'), ('raredisease banti syndrome', 'sign obstruction of splenic veins', 'produces')}"
,,,anaphora,set(),set()
17,"{'anaphora', 'increases_risk_of'}","{'produces', 'anaphora'}",,,
,,,produces,"{('raredisease potter syndrome', 'sign obstructive uropathy', 'produces')}",
,,,anaphora,"{('raredisease bilateral renal agenesis', 'anaphor ""this condition""', 'anaphora')}",set()
,,,increases_risk_of,set(),"{('raredisease bilateral renal agenesis', 'raredisease potter syndrome', 'increases_risk_of')}"
18,set(),set(),,,
19,"{'produces', 'anaphora', 'increases_risk_of', 'is_acron', 'is_a'}","{'is_acron', 'anaphora', 'is_a', 'produces'}",,,
,,,produces,"{('raredisease tuberculous meningitis', 'sign inflammation of the spinal cord', 'produces')}",set()
,,,anaphora,set(),"{('raredisease tuberculous meningitis', 'anaphor ""it""', 'anaphora'), ('raredisease tbm', 'anaphor ""the disorder""', 'anaphora'), ('raredisease tuberculous meningitis', 'anaphor ""this form of meningitis""', 'anaphora'), ('raredisease tbm', 'anaphor ""the infection""', 'anaphora')}"
,,,increases_risk_of,set(),"{('raredisease miliary tuberculosis', 'raredisease tuberculous meningitis', 'increases_risk_of')}"
,,,is_acron,set(),set()
,,,is_a,"{('raredisease miliary tuberculosis', 'raredisease tuberculosis', 'is_a'), ('raredisease tbm', 'disease meningitis', 'is_a')}","{('anaphor ""this form of meningitis""', 'disease meningitis', 'is_a')}"
20,"{'', 'anaphora', 'is_a', 'is_acron'}","{'produces', 'anaphora', 'is_a', 'is_acron'}",,,
,,,produces,"{('raredisease very long-chain acyl-coa dehydrogenase deficiency', 'sign fatty acid metabolism', 'produces')}",
,,,,set(),"{('anaphor ""it""', 'sign enzyme needed to break down certain very long-chain fatty acids', '')}"
,,,anaphora,"{('raredisease vlcadd', 'anaphor ""the disorder""', 'anaphora')}","{('raredisease vlcad', 'anaphor ""the disorder""', 'anaphora')}"
,,,is_a,"{('raredisease very long-chain acyl-coa dehydrogenase deficiency', 'disease genetic disorder', 'is_a')}","{('raredisease lcadd', 'raredisease long-chain acyl-coa dehydrogenase deficiency', 'is_a'), ('raredisease very long-chain acyl-coa dehydrogenase deficiency', 'disease genetic disorder of fatty acid metabolism', 'is_a'), ('raredisease vlcadd', 'disease fatty acid oxidation (fod) diseases', 'is_a')}"
,,,is_acron,set(),"{('raredisease lcadd', 'raredisease long-chain acyl-coa dehydrogenase deficiency', 'is_acron')}"
21,"{'is_a', 'anaphora', 'is_synon', 'produces'}","{'produces', 'anaphora', 'is_a'}",,,
,,,is_a,"{('raredisease enterobiasis or pinworm infection', 'disease contagious, parasitic infestation', 'is_a')}","{('disease enterobiasis', 'disease common, contagious, parasitic infestation', 'is_a')}"
,,,anaphora,"{('raredisease enterobiasis or pinworm infection', 'anaphor ""the disorder""', 'anaphora')}","{('disease enterobiasis', 'anaphor ""the disorder""', 'anaphora')}"
,,,is_synon,set(),"{('disease pinworm infection', 'disease enterobiasis', 'is_synon')}"
,,,produces,"{('raredisease enterobiasis', 'sign severe rectal itching', 'produces')}","{('disease enterobiasis', 'sign severe rectal itching', 'produces')}"
22,"{'anaphora', 'is_a'}","{'is_acron', 'anaphora', 'is_a'}",,,
,,,is_acron,"{('skinraredisease balanitis xerotica obliterans', 'skinraredisease lichen sclerosus', 'is_acron')}",
,,,anaphora,"{('skinraredisease lichen sclerosus', 'anaphor ""the disease""', 'anaphora')}","{('skinraredisease balanitis xerotica obliterans', 'anaphor ""the disease""', 'anaphora')}"
,,,is_a,set(),set()
23,"{'produces', 'anaphora'}","{'anaphora', 'is_a'}",,,
,,,is_a,"{('raredisease veo inflammatory bowel disease', 'disease inflammatory bowel disease', 'is_a')}",
,,,produces,set(),"{('raredisease very early onset (veo) inflammatory bowel disease', ""sign crohn's disease in children less than 6 years old"", 'produces')}"
,,,anaphora,"{(""raredisease crohn's disease"", 'anaphor ""it""', 'anaphora')}","{(""raredisease pediatric crohn's disease"", 'anaphor ""it""', 'anaphora')}"
24,"{'produces', 'anaphora', 'is_a'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,"{('raredisease alkaptonuria', 'sign dark urine', 'produces'), ('raredisease alkaptonuria', 'sign progressive arthritis of the large joints', 'produces'), ('raredisease alkaptonuria', 'sign urine that turns black when exposed to air', 'produces'), ('raredisease alkaptonuria', 'symptom asymptomatic during infancy or childhood', 'produces'), ('raredisease alkaptonuria', 'sign discoloration of the skin overlying cartilage within the body', 'produces'), ('raredisease alkaptonuria', 'sign discoloration of the sclera', 'produces'), ('raredisease alkaptonuria', 'sign lack of functional levels of an enzyme required to breakdown homogentisic acid', 'produces'), ('raredisease alkaptonuria', 'sign ochronosis', 'produces'), ('raredisease alkaptonuria', 'sign accumulation of homogentisic acid', 'produces'), ('raredisease alkaptonuria', 'sign progressive arthritis of the spine', 'produces')}","{('skinraredisease alkaptonuria', 'sign dark urine', 'produces'), ('skinraredisease alkaptonuria', 'sign accumulation of homogentisic acid', 'produces'), ('skinraredisease alkaptonuria', 'sign urine that turns black when exposed to air', 'produces'), ('skinraredisease alkaptonuria', 'sign ochronosis', 'produces'), ('skinraredisease alkaptonuria', 'sign sclera discolored', 'produces'), ('skinraredisease alkaptonuria', 'sign progressive arthritis of the spine', 'produces'), ('skinraredisease alkaptonuria', 'sign lack enough functional levels of an enzyme required to breakdown homogentisic acid', 'produces'), ('skinraredisease alkaptonuria', 'sign discoloration of the skin overlying cartilage', 'produces'), ('skinraredisease alkaptonuria', 'symptom asymptomatic during infancy or childhood', 'produces'), ('skinraredisease alkaptonuria', 'sign progressive arthritis of large joints', 'produces')}"
,,,anaphora,"{('raredisease alkaptonuria', 'anaphor ""the disorder""', 'anaphora'), ('raredisease alkaptonuria', 'anaphor ""this change""', 'anaphora')}","{('skinraredisease alkaptonuria', 'anaphor ""the disorder""', 'anaphora'), ('skinraredisease alkaptonuria', 'anaphor ""it""', 'anaphora')}"
,,,is_a,"{('raredisease alkaptonuria', 'disease genetic metabolic disorder', 'is_a')}","{('skinraredisease alkaptonuria', 'disease genetic metabolic disorder', 'is_a')}"
25,"{'produces', 'is_acron', 'is_a', 'anaphora'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,"{('raredisease primary lateral sclerosis', 'symptom weakness of the bulbar muscles', 'produces'), ('raredisease primary lateral sclerosis', 'symptom weakness of the arms', 'produces'), ('raredisease primary lateral sclerosis', 'symptom weakness of the muscles of the face', 'produces'), ('raredisease primary lateral sclerosis', 'symptom painless but progressive weakness of the muscles of the legs', 'produces')}","{('raredisease primary lateral sclerosis', 'sign cramps', 'produces'), ('raredisease primary lateral sclerosis', 'sign progressive weakness of the muscles of the legs', 'produces'), ('disease motor neuron diseases', 'sign malfunction of the motor neurons', 'produces'), ('raredisease primary lateral sclerosis', 'sign ability to speak impaired', 'produces'), ('raredisease primary lateral sclerosis', 'sign stiffness of joints', 'produces'), ('raredisease primary lateral sclerosis', 'sign weakness bulbar muscles', 'produces'), ('raredisease primary lateral sclerosis', 'sign muscle weakness', 'produces'), ('raredisease primary lateral sclerosis', 'sign weakness muscles of the face', 'produces'), ('raredisease primary lateral sclerosis', 'sign spasticity', 'produces'), ('raredisease primary lateral sclerosis', 'sign stiffness of the muscles of the legs', 'produces'), ('raredisease primary lateral sclerosis', 'sign weakness arms', 'produces'), ('raredisease primary lateral sclerosis', 'sign muscular contractions', 'produces')}"
,,,is_acron,set(),"{('raredisease primary lateral sclerosis', 'raredisease primary lateral sclerosis', 'is_acron')}"
,,,is_a,"{('raredisease primary lateral sclerosis', 'disease motor neuron diseases', 'is_a')}","{('raredisease primary lateral sclerosis', 'sign stiffness of joints', 'is_a')}"
,,,anaphora,set(),set()
26,"{'produces', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,produces,"{('raredisease multifocal motor neuropathy', 'sign muscles cramps', 'produces'), ('raredisease multifocal motor neuropathy', 'sign atrophy of muscles', 'produces')}","{('raredisease multifocal motor neuropathy', 'sign slowly progressive muscle weakness of the g', 'produces'), ('anaphor ""the disorder""', 'sign inflammation', 'produces'), ('anaphor ""the disorder""', 'sign muscles cramps', 'produces'), ('anaphor ""the disorder""', 'sign presence of specific autoantibodies that target a specific protein in the body', 'produces'), ('raredisease multifocal motor neuropathy', 'sign slowly progressive muscle weakness of the arms', 'produces'), ('anaphor ""the disorder""', 'sign atrophy of muscles', 'produces'), ('anaphor ""the disorder""', 'sign abnormal functioning of the immune system', 'produces')}"
,,,anaphora,set(),"{('raredisease multifocal motor neuropathy', 'anaphor ""this disorder""', 'anaphora')}"
27,"{'produces', 'anaphora', 'is_a', 'is_acron'}","{'is_acron', 'anaphora', 'is_a'}",,,
,,,produces,set(),"{('anaphor ""it""', 'sign unbalanced translocation', 'produces'), ('raredisease asps', 'sign painless mass in the leg', 'produces'), ('raredisease asps', 'sign painless mass in the buttock', 'produces')}"
,,,anaphora,set(),"{('raredisease asps', 'anaphor ""the sarcoma""', 'anaphora'), ('raredisease asps', 'anaphor ""the disorder""', 'anaphora'), ('raredisease asps', 'anaphor ""this tumor""', 'anaphora')}"
,,,is_a,set(),"{('anaphor ""it""', 'disease soft tissue sarcomas', 'is_a'), ('anaphor ""the sarcoma""', 'disease sarcoma', 'is_a'), ('disease soft tissue sarcomas', 'disease cancers', 'is_a')}"
,,,is_acron,set(),set()
28,"{'produces', 'anaphora', 'is_a'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,set(),set()
,,,anaphora,set(),set()
,,,is_a,"{('raredisease hereditary nonspherocytic hemolytic anemia', 'disease genetic transmitted blood disorders', 'is_a')}","{('raredisease hereditary nonspherocytic hemolytic anemia', 'disease genetically transmitted blood disorders', 'is_a'), ('raredisease hereditary nonspherocytic hemolytic anemia', 'disease blood disorder', 'is_a')}"
29,{'anaphora'},{'anaphora'},,,
,,,anaphora,"{('raredisease hartnup disease', 'anaphor ""it""', 'anaphora'), ('raredisease slc6a19 hartnup disease', 'anaphor ""the disorder""', 'anaphora')}","{('skinraredisease hartnup disease', 'anaphor ""it""', 'anaphora'), ('skinraredisease hartnup disease', 'anaphor ""the disorder""', 'anaphora')}"
30,"{'anaphora', 'is_a'}","{'anaphora', 'is_a'}",,,
,,,anaphora,"{('raredisease soft tissue sarcomas', 'anaphor ""this group of tumors""', 'anaphora')}","{('raredisease soft tissue sarcomas', 'anaphor ""this""', 'anaphora'), ('raredisease soft tissue sarcomas', 'anaphor ""they""', 'anaphora')}"
,,,is_a,set(),"{('raredisease soft tissue sarcomas', 'disease tumors', 'is_a')}"
31,"{'anaphora', 'is_a'}","{'anaphora', 'is_a'}",,,
,,,anaphora,set(),set()
,,,is_a,set(),set()
32,{'is_a'},set(),,,
,,,is_a,set(),"{('raredisease berylliosis', 'disease metal poisoning', 'is_a')}"
33,"{'produces', 'anaphora', 'is_a'}","{'produces', '', 'is_a'}",,,
,,,,"{('raredisease cleidocranial dysplasia', 'sign fingers that are irregular in length', '')}",
,,,produces,"{('raredisease cleidocranial dysplasia', 'sign moderately short stature', 'produces'), ('raredisease cleidocranial dysplasia', 'sign delayed closure of the space between the bones of the skull', 'produces')}","{('raredisease cleidocranial dysplasia', 'sign delayed closure of the fontanels', 'produces'), ('raredisease cleidocranial dysplasia', 'sign fingers that are irregular in length', 'produces'), ('raredisease cleidocranial dysplasia', 'sign premature closing of the coronal', 'produces')}"
,,,anaphora,set(),"{('raredisease cleidocranial dysplasia', 'anaphor ""this disorder""', 'anaphora')}"
,,,is_a,set(),set()
34,"{'produces', 'is_acron'}","{'is_acron', 'produces'}",,,
,,,produces,"{('raredisease fetal alcohol syndrome', 'sign learning abnormalities', 'produces'), ('raredisease fetal alcohol syndrome', 'sign postnatal growth retardation', 'produces'), ('raredisease fetal alcohol syndrome', 'sign malformations of the skull and facial (craniofacial) region', 'produces'), ('raredisease fetal alcohol syndrome', 'sign brain abnormalities', 'produces'), ('raredisease fetal alcohol syndrome', 'sign behavioral problems', 'produces'), ('raredisease fetal alcohol syndrome', 'sign physical findings', 'produces'), ('raredisease fetal alcohol syndrome', 'sign mental and physical birth defects', 'produces'), ('raredisease fetal alcohol syndrome', 'sign prenatal growth retardation', 'produces'), ('raredisease fetal alcohol syndrome', 'sign mental retardation', 'produces')}","{('disease fetal alcohol syndrome', 'sign brain abnormalities', 'produces'), ('disease fetal alcohol syndrome', 'sign malformations of the skull and facial (craniofacial) region', 'produces'), ('disease fetal alcohol syndrome', 'sign postnatal growth retardation', 'produces'), ('disease fetal alcohol syndrome', 'sign mental and physical birth defects', 'produces'), ('disease fas', 'sign mental retardation', 'produces'), ('disease fas', 'sign behavioral problems', 'produces'), ('disease fas', 'sign varying degrees of mental retardation', 'produces'), ('disease fetal alcohol syndrome', 'sign prenatal growth retardation', 'produces'), ('disease fas', 'sign learning abnormalities', 'produces')}"
,,,is_acron,"{('raredisease fas', 'raredisease fetal alcohol syndrome', 'is_acron')}","{('disease fas', 'disease fetal alcohol syndrome', 'is_acron')}"
35,"{'is_a', 'is_synon'}","{'anaphora', 'is_a'}",,,
,,,anaphora,"{('raredisease trisomy 9p', 'anaphor ""the disorder""', 'anaphora')}",
,,,is_a,set(),set()
,,,is_synon,set(),"{('raredisease patau syndrome', 'raredisease trisomy 13', 'is_synon'), (""raredisease edwards's syndrome"", 'raredisease trisomy 18', 'is_synon'), ('raredisease down syndrome', 'raredisease trisomy 21', 'is_synon')}"
36,"{'produces', 'is_a'}","{'produces', 'anaphora', 'is_a'}",,,
,,,anaphora,"{('raredisease glucose-galactose malabsorption', 'anaphor ""it""', 'anaphora')}",
,,,produces,"{('raredisease glucose-galactose malabsorption', 'sign watery diarrhea', 'produces')}","{('raredisease ggm', 'sign watery diarrhea', 'produces')}"
,,,is_a,set(),set()
37,"{'produces', 'anaphora', 'is_a'}","{'produces', 'anaphora'}",,,
,,,produces,"{('raredisease chromosome 9 ring', 'sign intellectual disability', 'produces')}","{('raredisease chromosome 9 ring', 'sign moderate to severe intellectual disability', 'produces')}"
,,,anaphora,set(),set()
,,,is_a,set(),"{('raredisease chromosome 9 ring', 'disease chromosomal abnormality', 'is_a')}"
38,set(),set(),,,
39,{'produces'},{'produces'},,,
,,,produces,"{('raredisease congenital heart block', 'sign conduction abnormalities', 'produces'), ('raredisease congenital heart block', 'sign interference with the transfer of the electrical nerve impulses', 'produces')}","{('raredisease congenital heart block', 'sign heart block', 'produces')}"
40,"{'is_acron', 'is_a', 'increases_risk_of'}","{'produces', 'is_a'}",,,
,,,produces,"{('raredisease primary central nervous system lymphoma', 'sign impaired immune system', 'produces')}",
,,,is_acron,set(),"{('raredisease pcnsl', 'raredisease primary central nervous system lymphoma', 'is_acron')}"
,,,is_a,"{('raredisease primary cns lymphoma', 'raredisease primary central nervous system lymphoma', 'is_a')}","{('raredisease primary cns lymphoma', 'disease brain tumor', 'is_a')}"
,,,increases_risk_of,set(),"{('disease hiv', 'raredisease primary cns lymphoma', 'increases_risk_of'), ('disease aids', 'raredisease primary cns lymphoma', 'increases_risk_of'), ('disease congenital immunodeficiency syndromes', 'raredisease primary cns lymphoma', 'increases_risk_of')}"
41,"{'anaphora', 'is_a'}","{'anaphora', 'is_a'}",,,
,,,anaphora,set(),set()
,,,is_a,set(),set()
42,"{'produces', 'anaphora', 'is_acron'}","{'produces', 'anaphora'}",,,
,,,produces,"{('raredisease dss', 'symptom tingling', 'produces'), ('raredisease dss', 'symptom prickling', 'produces'), ('raredisease dss', 'symptom burning', 'produces'), ('raredisease dss', 'sign hand muscle weakness', 'produces'), ('raredisease dss', 'symptom loss of heat sensitivity', 'produces'), ('raredisease dss', 'sign muscle atrophy', 'produces'), ('raredisease dss', 'sign forearm muscle weakness', 'produces'), ('raredisease dss', 'sign walking at preschool age or later', 'produces'), ('raredisease dss', 'symptom muscle weakness', 'produces')}","{('raredisease dss', 'sign atrophy of leg muscles', 'produces'), ('raredisease dss', 'sign muscle weakness', 'produces'), ('anaphor ""the condition""', 'sign hand and forearm muscles may become weak', 'produces'), ('raredisease dss', 'sign mild vision difficulties', 'produces'), ('raredisease dss', 'sign loss of heat sensitivity', 'produces')}"
,,,anaphora,set(),"{('raredisease dejerine-sottas syndrome', 'anaphor ""it""', 'anaphora'), ('raredisease dejerine-sottas syndrome', 'anaphor ""this disorder""', 'anaphora')}"
,,,is_acron,set(),"{('raredisease dss', 'raredisease dejerine-sottas syndrome', 'is_acron')}"
43,"{'anaphora', 'is_synon', 'is_acron', 'produces', 'is_a'}","{'', 'anaphora', 'is_acron', 'produces', 'is_a'}",,,
,,,,"{('anaphor ""it""', 'sign upper limbs', ''), ('anaphor ""it""', 'sign tarsal bones', ''), ('anaphor ""it""', 'sign spine', '')}",
,,,anaphora,set(),"{('raredisease deh', 'anaphor ""this disease""', 'anaphora')}"
,,,is_synon,set(),"{(""raredisease trevor's disease,"", 'raredisease dysplasia epiphysealis hemimelica', 'is_synon')}"
,,,is_acron,set(),set()
,,,produces,"{('raredisease deh', 'sign multiple lesions', 'produces'), ('anaphor ""it""', 'sign bones of the knee and ankle joints are affected', 'produces')}","{('anaphor ""it""', 'sign abnormal growth of cartilage arising from the cartilage of the terminal ends (epiphysis) of the long bones of the lower limbs', 'produces'), ('anaphor ""it""', 'sign abnormal cartilage', 'produces'), ('anaphor ""it""', 'sign irregular nodular mass located either in the medial or lateral part of the bone', 'produces')}"
,,,is_a,"{('raredisease dysplasia epiphysealis hemimelica', 'disease developmental bone disease', 'is_a')}","{('raredisease dysplasia epiphysealis hemimelica', 'disease bone disease', 'is_a')}"
44,{'is_a'},"{'anaphora', 'is_a'}",,,
,,,anaphora,"{('raredisease dmd', 'anaphor ""the muscular dystrophies""', 'anaphora')}",
,,,is_a,"{('raredisease dmd', 'disease muscular dystrophy', 'is_a')}","{('raredisease dmd', 'raredisease muscular dystrophy', 'is_a')}"
45,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
46,{'anaphora'},{'anaphora'},,,
,,,anaphora,"{('raredisease', 'anaphor ""the disorder""', 'anaphora')}","{('raredisease andersen-tawil syndrome', 'anaphor ""the disorder""', 'anaphora')}"
47,{'produces'},set(),,,
,,,produces,set(),"{('raredisease fvs', 'sign cardiovascular abnormalities', 'produces'), ('raredisease fvs', 'sign autism', 'produces'), ('raredisease fvs', 'sign cleft lip and palate', 'produces'), ('raredisease fvs', 'sign genitourinary defects', 'produces'), ('raredisease fvs', 'sign developmental delay', 'produces'), ('raredisease fvs', 'sign endocrine disorders', 'produces'), ('raredisease fvs', 'sign limb defects', 'produces'), ('raredisease fvs', 'sign neural tube defects', 'produces')}"
48,"{'produces', 'anaphora', 'is_acron', ''}","{'anaphora', 'is_a'}",,,
,,,is_a,"{('raredisease ssadh deficiency', 'raredisease succinic semialdehyde dehydrogenase deficiency', 'is_a'), ('raredisease succinic semialdehyde dehydrogenase deficiency', 'disease inborn error of metabolism', 'is_a')}",
