doc_name,fp_prediction
Arteriovenous-Malformation,"('""they""', 'no capillary bed', 'produces')"
AP,"('ap-4-hsp', 'intellectual disability', 'produces')"
Acanthosis-Nigricans,"('obesity', 'acanthosis nigricans', 'increases_risk_of')"
Buerger_s-Disease,"('""it""', 'cramping in the legs', 'produces')"
Kienbock-Disease,"('kienbock disease', 'healing', 'produces')"
Schindler-disease,"('""the disorder""', 'lysosomal storage diseases', 'is_a')"
Floating-Harbor-Syndrome,"('fhs', '""the disorder""', 'anaphora')"
Creutzfeldt-Jakob-Disease,"('spongiform encephalopathy', 'loss of muscle mass', 'produces')"
Primary-Lateral-Sclerosis,"('motor neuron diseases', '""the disorder""', 'anaphora')"
Glucose,"(""glucose-galactose malabsorption and small intestine's inability to absorb"", 'absorb glucose', 'produces')"
Alagille-Syndrome,"('alagille syndrome', '""the mutation""', 'produces')"
Buerger_s-Disease,"(""buerger's disease"", 'inflammation', 'produces')"
Chromosome-14-Ring,"('chromosome 14 ring', 'microcephaly', 'produces')"
Dup15q-Syndrome,"('dup15q', '""the disorder""', 'anaphora')"
Elephantiasis,"('elephantiasis', '""this condition""', 'anaphora')"
Barakat-Syndrome,"('low blood calcium', 'nephrotic syndrome', 'produces')"
Alkaptonuria,"('alkaptonuria', 'progressive arthritis', 'produces')"
Acanthosis-Nigricans,"('acanthosis nigricans', 'hyperkeratosis', 'produces')"
Townes-Brocks-Syndrome,"('tbs', 'mental retardation', 'produces')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'tooth loss', 'produces')"
Alkaptonuria,"('""the disorder""', 'dark urine', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('""this disorder""', 'neurological deterioration', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'lymphadenopathy', 'produces')"
Agenesis-of-Corpus-Callosum,"('acc', 'agenesis of corpus callosum', 'is_acron')"
Antiphospholipid-Syndrome,"('antiphospholipid syndrome', 'strokes', 'produces')"
Pediatric-Crohns-Disease,"(""pediatric crohn's disease"", '""it""', 'increases_risk_of')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'deterioration of the nerve cells (motor neurons) within the brain', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('""it""', 'pulmonary nodules', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'deterioration of the hip joints', 'produces')"
Schindler-disease,"('schindler disease', 'glycosphingolipids', 'produces')"
Human-Monocytic-Ehrlichiosis-(HME),"('""the disorders""', 'fever', 'produces')"
Alkaptonuria,"('alkaptonuria', 'asymptomatic', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('c3 glomerulopathy', 'kidney disease', 'is_a')"
Primary-Lateral-Sclerosis,"('primary lateral sclerosis', 'weakness of the muscles at the base of the brain', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'growth delays', 'produces')"
Creutzfeldt-Jakob-Disease,"('spongiform encephalopathy', 'myoclonus', 'produces')"
Alpers-Disease,"('alpers disease', 'hypotonia', 'produces')"
Mandibuloacral-Dysplasia,"('mandibuloacral dysplasia type b', 'mandibuloacral dysplasia', 'is_acron')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'completely empty sella', 'produces')"
Jejunal-Atresia,"('jejunal atresia', '""the disorder""', 'anaphora')"
Arthritis-Infectious,"('infectious arthritis', 'general weakness', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'heart disease', 'produces')"
Elephantiasis,"('elephantiasis', 'accumulation of lymph in the affected area', 'produces')"
Creutzfeldt-Jakob-Disease,"('spongiform encephalopathy', 'muscle weakness', 'produces')"
Cystic-Fibrosis,"('cftr a', 'pancreatic insufficiency', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('cerebral palsy', 'delayed development of motor skills', 'produces')"
Protein-S-Deficiency,"('pros1 protein s deficiency', '""the disorder""', 'anaphora')"
Cleidocranial-Dysplasia,"('""this disorder""', 'short stature', 'produces')"
Pseudo-Hurler-Polydystrophy,"('pseudo-hurler polydystrophy', 'accumulation of certain complex carbohydrates', 'produces')"
Epidermolytic-Ichthyosis,"('infants with ei', 'scales', 'produces')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'stiffness of joints', 'produces')"
Buerger_s-Disease,"(""buerger's disease"", 'clotting of certain veins', 'produces')"
Chromosome-14-Ring,"('""the disorder"" and abnormalities of the head', 'facial (craniofacial) area', 'produces')"
Fetal-Alcohol-Syndrome,"('fetal alcohol syndrome and malformations of the skull', 'facial (craniofacial) region', 'produces')"
Jejunal-Atresia,"('""the disorder""', 'vomiting', 'produces')"
Arthritis-Infectious,"('infectious arthritis', 'chills', 'produces')"
Dejerine,"('dss', '""it""', 'anaphora')"
Dysplasia-Epiphysealis-Hemimelica,"('""it""', '""this disorder""', 'is_a')"
Alpers-Disease,"('alpers disease', 'liver disease', 'produces')"
Arthritis-Infectious,"('infectious arthritis', 'headaches', 'produces')"
Meige-Syndrome,"('meige syndrome', 'involuntary contractions of the muscles of the jaw', 'produces')"
Jejunal-Atresia,"('""the disorder""', '""the disease""', 'anaphora')"
Alpers-Disease,"('alpers disease', 'muscle weakness', 'produces')"
Carnosinemia,"('""this disorder""', 'congenital myopathy', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('cerebral palsy', 'weakness of muscle tone', 'produces')"
Jejunal-Atresia,"('""the disorder""', 'constipation.', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', '""it""', 'anaphora')"
Chromosome-14-Ring,"('""the disorder""', 'mental retardation', 'produces')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'folded rim of skin', 'produces')"
Chromosome-14-Ring,"('""the disorder""', 'growth delays', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('complement-mediated renal diseases', '""they""', 'anaphora')"
Jejunal-Atresia,"('""this disorder""', 'diarrhea', 'produces')"
AP,"('ap-4-hsp', 'cerebral palsy', 'produces')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'parotids enlarged', 'produces')"
Empty-Sella-Syndrome,"('primary empty sella syndrome', '""the disorder""', 'anaphora')"
Arthritis-Infectious,"('autoimmune disorders', 'infectious arthritis', 'increases_risk_of')"
Cornelia-de-Lange-Syndrome,"('cdls', 'low-set ears', 'produces')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('""it""', 'fatty acid metabolism', 'is_a')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'lacrimal glands enlarged', 'produces')"
Carnosinemia,"('""this disorder""', 'motor delays', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('""this disorder""', 'multiple lesions', 'produces')"
Multifocal-Motor-Neuropathy,"('multifocal motor neuropathy', 'specific autoantibodies that target a specific protein in the body', 'produces')"
Agenesis-of-Corpus-Callosum,"('""it""', 'brain is normally composed of transverse fibers', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('c3g', '""these patients""', 'anaphora')"
Dysplasia-Epiphysealis-Hemimelica,"('""it""', '""this disease""', 'is_a')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'enlarged glands in the neck', 'produces')"
Arteriovenous-Malformation,"('arteriovenous malformation', '""they""', 'anaphora')"
Meningitis-Tuberculous,"('tbm', '""this form of meningitis""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('cdls', 'low voice', 'produces')"
Kienbock-Disease,"('kienbock disease', 'recurrent pain in the wrist', 'produces')"
Agenesis-of-Corpus-Callosum,"('acc', '""this condition""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('cdls and prominent vertical groove between the upper lip', 'nose', 'produces')"
Chromosome-14-Ring,"('chromosome 14 ring', 'chromosomal disorder', 'is_a')"
Balo-Disease,"('balo disease and paralysis. the relationship between balo disease', 'neurological symptoms', 'produces')"
Dup15q-Syndrome,"('dup15q', 'chromosome (cytogenetic) anomalies', 'is_a')"
Mikulicz-Syndrome,"('sjogren syndrome', '""the disorder""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'absence of the enzyme pseudocholinesterase', 'produces')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'salivary glands enlarged', 'produces')"
Laband-Syndrome,"('laband syndrome', 'congenital gingival fibromatosis', 'produces')"
Chromosome-14-Ring,"('chromosomal disorder', '""the disorder""', 'anaphora')"
Subacute-Sclerosing-Panencephalitis,"('sspe', '""this disorder""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'malformations of the arms', 'produces')"
Acanthosis-Nigricans,"('cancer', 'acanthosis nigricans', 'increases_risk_of')"
Glucose,"('glucose-galactose malabsorption', 'simple sugars or monosaccharides', 'produces')"
Mandibuloacral-Dysplasia,"('mandibuloacral dysplasia', '""the disorder""', 'anaphora')"
Ovotesticular-Disorder-of-Sex-Development,"('ovotesticular disorder of sex development', '""the disorder""', 'anaphora')"
Waldenstrom_s-Macroglobulinemia,"('""this disorder""', 'enlarged liver', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('complement-mediated renal diseases', 'dense deposit disease', 'produces')"
Chromosome-9-Ring,"('""the chromosomal abnormality""', 'physical features', 'produces')"
Mikulicz-Syndrome,"('syphilis', '""the disorder""', 'increases_risk_of')"
Chromosome-14-Ring,"('""the disorder""', 'psychomotor delays', 'produces')"
Jejunal-Atresia,"('""the disorder""', 'jaundice', 'produces')"
Alkaptonuria,"('""the disorder""', 'progressive arthritis', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('""this disorder""', 'blood is pumped through the heart', 'produces')"
Agenesis-of-Corpus-Callosum,"('""it""', '""it""', 'produces')"
Alagille-Syndrome,"('alagille syndrome', 'distinctive facial features', 'produces')"
Buerger_s-Disease,"('""it"" and occlusion of the veins', 'arteries of the extremities', 'produces')"
Acanthosis-Nigricans,"('acanthosis nigricans', '""it""', 'anaphora')"
Creutzfeldt-Jakob-Disease,"('spongiform encephalopathy', 'neuromuscular abnormalities', 'produces')"
Agenesis-of-Corpus-Callosum,"('""it""', 'agenesis', 'produces')"
Cystic-Fibrosis,"('cf.', 'cystic fibrosis', 'produces')"
Hyperferritinemia-Cataract-Syndrome,"('hyperferritinemia-cataract syndrome', 'cataracts', 'produces')"
Alagille-Syndrome,"('""the disorder""', 'thickening of the ring that normally lines the cornea in the eye', 'produces')"
Dejerine,"('""it""', 'walking at preschool age', 'produces')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'teeth present', 'produces')"
Banti_s-Syndrome,"('""it""', 'hypertension within the spleen', 'produces')"
AP,"('ap-4-hsp', 'developmental delay', 'produces')"
Fetal-Alcohol-Syndrome,"('fetal alcohol syndrome', 'physical birth defects', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('""it""', 'painless mass', 'produces')"
Arteriovenous-Malformation,"('""they""', 'pressure in the arteries', 'produces')"
Arthritis-Infectious,"('infectious arthritis', 'painful swelling of one or more joints of the body', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('batten turner type congenital myopathy', 'myopathy', 'produces')"
Kienbock-Disease,"('""it""', 'pain', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('""the disease""', 'encephalitis', 'produces')"
Creutzfeldt-Jakob-Disease,"('creutzfeldt-jakob disease', 'spongiform encephalopathy', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'micrognathia', 'produces')"
Hartnup-Disease,"('slc6a19 hartnup disease', '""the disorder""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('cdls', 'short stature', 'produces')"
Cleidocranial-Dysplasia,"('""this disorder""', 'wide pelvic joint', 'produces')"
Carnosinemia,"('carnosinemia', 'myoclonus', 'produces')"
Creutzfeldt-Jakob-Disease,"('cjd', '""the disorder""', 'anaphora')"
Kienbock-Disease,"('kienbock disease', 'shortening of the ulna', 'produces')"
Arteriovenous-Malformation,"('""they""', 'veins', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', '""the disorder""', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'mild to moderate intellectual disabilities', 'produces')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'partial empty sella', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstom's macroglobulinemia"", '""this disorder""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'apnea', 'produces')"
Leukodystrophy,"('leukodystrophies', '""these conditions""', 'anaphora')"
Fibrous-Dysplasia,"('fd', 'fibrous dysplasia', 'is_acron')"
Dysplasia-Epiphysealis-Hemimelica,"('""it""', 'abnormal bone formation', 'produces')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'narrow, abnormally shaped pelvic joints', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('batten turner type congenital myopathy', 'floppiness at birth', 'produces')"
Baller,"('bgs', 'distinctive misshapen appearance of the skull', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'weakness of muscle tone', 'produces')"
Dejerine,"('dss', '""this disorder""', 'anaphora')"
Hypoplastic-Left-Heart-Syndrome,"('hypoplastic left heart syndrome', 'congenital heart defects', 'produces')"
Barakat-Syndrome,"('low blood calcium', 'convulsions', 'produces')"
Meige-Syndrome,"('meige syndrome', 'involuntary contractions of the muscles around the eyes', 'produces')"
Chromosome-9-Ring,"('""the chromosomal abnormality""', 'moderate to severe intellectual disability', 'produces')"
Laband-Syndrome,"('""this disorder""', 'overgrow gums', 'produces')"
Glucose,"('""it""', 'malabsorption', 'produces')"
Mikulicz-Syndrome,"('sle', '""the disorder""', 'anaphora')"
Fetal-Alcohol-Syndrome,"('fetal alcohol syndrome', 'growth retardation', 'produces')"
Chromosome-14-Ring,"('chromosome 14 ring', 'thin upper lip', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'mechanical ventilation', 'produces')"
Human-Monocytic-Ehrlichiosis-(HME),"('hme', '""the disorders""', 'anaphora')"
Carnosinemia,"('""this disorder""', 'muscle weakness', 'produces')"
Pediatric-Crohns-Disease,"('""the disorder""', '""it""', 'anaphora')"
Arthritis-Infectious,"('infectious arthritis', '""the disorder""', 'anaphora')"
Trisomy-9p-(Multiple-Variants),"('trisomy 9p', '""the short arm"" of chromosome 9', 'produces')"
Barakat-Syndrome,"('low blood calcium', 'tetany', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'seizure activity', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'poor flow', 'produces')"
Laband-Syndrome,"('""this disorder""', 'dysplastic nails', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('c3g', 'c3g glomerulonephritis', 'is_acron')"
Arthritis-Infectious,"('staphylococcal arthritis', '""the disorder""', 'increases_risk_of')"
Creutzfeldt-Jakob-Disease,"('creutzfeldt-jakob disease', 'dementia', 'produces')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'postnatal growth retardation', 'produces')"
Cleidocranial-Dysplasia,"('""this disorder""', 'fingers that are irregular in length', 'produces')"
Townes-Brocks-Syndrome,"('imperforate anus', '""the condition""', 'anaphora')"
Buerger_s-Disease,"('""it""', 'ulceration', 'produces')"
Buerger_s-Disease,"(""buerger's disease"", 'thrombosis', 'produces')"
AP,"('ap-4-hsp', 'seizures', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'spleen premature destruction', 'produces')"
Autosomal-Dominant-Hereditary-Ataxia,"('hereditary ataxia', '""these disorders""', 'anaphora')"
Cat-Eye-Syndrome,"('cat eye syndrome', '""this disorder""', 'anaphora')"
Potter-Syndrome,"('""this condition""', 'potter syndrome', 'is_acron')"
Banti_s-Syndrome,"('cirrhosis', 'vascular obstruction', 'produces')"
Potter-Syndrome,"('""this condition""', 'renal agenesis', 'produces')"
Duchenne-Muscular-Dystrophy,"('dmd', 'muscular dystrophies', 'is_a')"
Schindler-disease,"('schindler disease', 'accumulation of certain complex compounds', 'produces')"
Jejunal-Atresia,"('""the disorder""', 'swollen abdomen', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstrom's macroglobulinemia"", '""it""', 'anaphora')"
Dejerine,"('""it""', 'delayed motor milestones', 'produces')"
Jejunal-Atresia,"('""this disorder""', 'abnormal ingestions', 'produces')"
Alagille-Syndrome,"('omim', 'alagille syndrome', 'is_acron')"
Ewing-Sarcoma,"(""askin's tumor"", 'tumors of the chest wall', 'is_synon')"
Buerger_s-Disease,"('""it"" and pain of the lower arms', 'legs', 'produces')"
Primary-Lateral-Sclerosis,"('primary lateral sclerosis', 'weakness of the muscles of the arms', 'produces')"
Barakat-Syndrome,"('low blood calcium', 'proteinuria', 'produces')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome and ting. the relationship between tbs', 'townes-brocks syndrome', 'is_acron')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'obstructive apnea', 'produces')"
Monilethrix,"('monilethrix', 'hair may break before reaching more than a few inches in length', 'produces')"
Cleidocranial-Dysplasia,"('""this disorder""', 'high arched palate', 'produces')"
Chromosome-14-Ring,"('chromosome 14 ring', 'high forehead', 'produces')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'prenatal growth retardation', 'produces')"
Ichthyosis-Lamellar,"('lamellar ichthyosis', 'bone toxicity', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('""this disorder""', 'low red blood cell counts', 'produces')"
Monilethrix,"('monilethrix and sparse, dry,', '/ or brittle hair', 'produces')"
Kienbock-Disease,"('kienbock disease', 'stiffness in the wrist', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstrom's macroglobulinemia"", 'malignant disorder of the bone marrow', 'produces')"
Leukoencephalopathy-with-Brain-Stem-and-Spinal-Cord-Involvement-and-Lactate-Elevation,"('ellie', '""the disorder""', 'anaphora')"
Epidermolytic-Ichthyosis,"('infants with ei', 'increase in the severity of the scaling', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency and ""the anesthetic agents succinylcholine', 'mivacurium', 'produces')"
Arteriovenous-Malformation,"('""they""', 'low resistance of the direct a-v connections', 'produces')"
Alport-Syndrome,"('alport syndrome', 'chronic kidney disease', 'produces')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('""it""', 'metabolic diseases', 'is_a')"
Chromosome-14-Ring,"('chromosome 14 ring', 'large, low-set ears', 'produces')"
Dup15q-Syndrome,"('dup15q', '""it""', 'anaphora')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'glands near the jaw', 'produces')"
Laband-Syndrome,"('laband syndrome', '""the disorder""', 'anaphora')"
Meningitis-Tuberculous,"('""the disorder""', 'meningitis', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('batten turner type congenital myopathy', 'inherited muscle disease', 'is_a')"
Banti_s-Syndrome,"('""it""', 'abnormalities present at birth', 'produces')"
Jejunal-Atresia,"('""this disorder""', 'partial absence of the fold of the stomach membrane', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('cerebral palsy', 'tire easily.', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('asps', 'soft tissue sarcoma', 'is_a')"
Carnosinemia,"('carnosinemia', 'developmental retardation', 'produces')"
Chromosome-14-Ring,"('""the disorder""', 'episodes of uncontrolled electrical activity in the brain', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('hiv / aids', 'primary central nervous system lymphoma', 'increases_risk_of')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('complement-mediated renal diseases', '""these diseases""', 'anaphora')"
Alveolar-Soft-Part-Sarcoma,"('""it""', 'multiple nodules', 'produces')"
Banti_s-Syndrome,"('""it""', 'abnormalities within the liver', 'produces')"
Fetal-Alcohol-Syndrome,"('fas', '""it""', 'anaphora')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'small ears', 'produces')"
Balo-Disease,"('balo disease', '""it""', 'anaphora')"
Schindler-disease,"('schindler disease', 'oligosaccharides', 'produces')"
Kienbock-Disease,"('kienbock disease', 'osteoarthritis of the wrist', 'produces')"
Laband-Syndrome,"('""this disorder""', 'malformations or absence of the nails', 'produces')"
Creutzfeldt-Jakob-Disease,"('spongiform encephalopathy', 'neurological symptoms', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('""this disorder""', 'atrial septal defect', 'produces')"
Laband-Syndrome,"('laband syndrome and abnormalities of the hands', 'feet', 'produces')"
Cystic-Fibrosis,"('cf.', 'pancreatic insufficiency', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'tend to tire easily.', 'produces')"
Cat-Eye-Syndrome,"('""this defect""', 'cat eye syndrome', 'produces')"
Monilethrix,"('monilethrix', 'hair shafts resemble a wheel', 'produces')"
Carnosinemia,"('carnosinemia', 'delayed intellectual development', 'produces')"
Elephantiasis,"('elephantiasis', 'lymphangiogenesis', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'thin, downturned lips', 'produces')"
Pediatric-Crohns-Disease,"('""the disorder""', ""crohn's disease"", 'is_a')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'defects in the chest', 'produces')"
Pseudo-Hurler-Polydystrophy,"('pseudo-hurler polydystrophy', 'decreased lysosomal enzyme levels in fibroblasts', 'produces')"
Balo-Disease,"('ms and paralysis. the relationship between balo disease', 'infectious disease', 'is_a')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'parotid glands enlarged', 'produces')"
Cystic-Fibrosis,"('cftr a', 'positive family history', 'produces')"
Arteriovenous-Malformation,"('avm', '""it""', 'anaphora')"
Retroperitoneal-Fibrosis,"('idiopathic', 'retroperitoneal fibrosis', 'is_a')"
Barakat-Syndrome,"('hypocalcemia', 'deafness', 'produces')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'snoring', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('""the disease""', 'seizures', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'autistic like behaviors', 'produces')"
Multifocal-Motor-Neuropathy,"('pediatric cases', '""the disorder""', 'increases_risk_of')"
Barakat-Syndrome,"('low blood calcium', 'hypocalcemia', 'produces')"
Meningitis-Tuberculous,"('tbm', 'meningitis', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', 'hypotonia', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('""the disease""', 'involuntary muscle movements', 'produces')"
Arthritis-Infectious,"('infectious arthritis', 'fever', 'produces')"
Carnosinemia,"('carnosinemia', 'intellectual deficits', 'produces')"
Agenesis-of-Corpus-Callosum,"('spina bifida', '""it""', 'is_synon')"
Ichthyosis-Lamellar,"('lamellar ichthyosis', 'retention', 'produces')"
Chromosome-14-Ring,"('chromosome 14 ring', 'flat nasal bridge with a prominent nasal tip', 'produces')"
Dejerine,"('dss', 'muscle loss', 'produces')"
Carnosinemia,"('carnosinemia', 'high levels of carnosine', 'produces')"
Leukodystrophy,"('""each type of leukodystrophy""', 'neurological problems', 'produces')"
