doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
,,,is_a,"{('raredisease ddd', 'disease c3 glomerulonephritis', 'is_a'), ('raredisease ddd', 'disease c3 glomerulopathy', 'is_a')}",set()
,,,is_acron,"{('raredisease c3g', 'raredisease c3 glomerulonephritis', 'is_acron')}","{('raredisease c3gn', 'raredisease c3 glomerulonephritis', 'is_acron'), ('raredisease c3g', 'raredisease c3 glomerulopathy', 'is_acron')}"
11,{'produces'},{'produces'},,,
,,,produces,"{('skinraredisease ttd', 'sign tiger-tail pattern', 'produces'), ('skinraredisease ttd', 'sign bone anomalies', 'produces'), ('skinraredisease ttd', 'sign teeth anomalies', 'produces')}","{('skinraredisease ttd', 'sign hair shafts tiger-tail pattern', 'produces'), ('skinraredisease ttd', 'sign hair shaft abnormalities', 'produces'), ('skinraredisease ttd', 'sign abnormal patterns of myelination', 'produces'), ('skinraredisease ttd', 'sign bone and teeth anomalies', 'produces')}"
12,"{'produces', 'increases_risk_of', 'anaphora', 'is_a'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,"{('raredisease alpers disease', 'sign liver cirrhosis', 'produces'), ('raredisease alpers disease', 'sign hypotonia', 'produces'), ('raredisease alpers disease', 'sign limbs stiff', 'produces'), ('raredisease alpers disease', 'sign liver disease', 'produces'), ('raredisease alpers disease', 'sign increased density of the grey matter in the brain', 'produces')}","{('anaphor ""it""', 'sign hypotonia', 'produces'), ('raredisease alpers disease', 'sign blind', 'produces'), ('raredisease alpers disease', 'sign liver cirrhotic', 'produces'), ('raredisease alpers disease', 'sign spastic quadriplegia', 'produces'), ('anaphor ""it""', 'sign lack of coordination of motor movement', 'produces')}"
,,,increases_risk_of,set(),"{('raredisease alpers disease', 'disease serious liver disease', 'increases_risk_of')}"
,,,anaphora,set(),set()
,,,is_a,"{('raredisease alpers disease', 'disease progressive neurologic disorder', 'is_a')}","{('raredisease alpers disease', 'sign mental retardation', 'is_a')}"
13,"{'produces', 'anaphora'}","{'anaphora', 'is_a'}",,,
,,,is_a,"{('raredisease sca10', 'raredisease hereditary ataxia', 'is_a'), ('raredisease sca3', 'raredisease hereditary ataxia', 'is_a'), ('raredisease drpla', 'raredisease hereditary ataxia', 'is_a')}",
,,,produces,set(),"{('raredisease hereditary ataxia', 'sign ataxias', 'produces'), ('raredisease hereditary ataxia', 'sign ataxia', 'produces')}"
,,,anaphora,"{('raredisease hereditary ataxia', 'anaphor ""they""', 'anaphora'), ('raredisease hereditary ataxia', 'anaphor ""these ataxias""', 'anaphora')}","{('raredisease hereditary ataxia', 'anaphor ""it""', 'anaphora')}"
14,set(),set(),,,
15,"{'increases_risk_of', 'is_synon', 'produces', 'is_a', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,increases_risk_of,set(),"{('skinraredisease ei', 'disease skin infections', 'increases_risk_of')}"
,,,is_synon,set(),"{('skinraredisease curth-macklin', 'skinraredisease ichthyosis hystrix', 'is_synon')}"
,,,produces,"{('skinraredisease ei', 'sign heat intolerance', 'produces'), ('skinraredisease ei', 'sign red, blistering and denuded skin with visible areas of skin thickening', 'produces'), ('skinraredisease ei', 'sign redness of the skin', 'produces'), ('skinraredisease ei', 'sign blistering in areas subject to friction', 'produces'), ('skinraredisease ei', 'sign ichthyosis hystrix', 'produces'), ('skinraredisease ei', 'sign skin infections', 'produces')}","{('skinraredisease palmoplantar keratoderma', 'sign limit hand function', 'produces'), ('skinraredisease ei', 'sign red, blistering and denuded skin', 'produces'), ('skinraredisease palmoplantar keratoderma', 'sign limit ambulation', 'produces'), ('skinraredisease ei', 'sign blistering', 'produces'), ('skinraredisease ichthyosis hystrix', 'sign brown-grey hyperkeratotic spines', 'produces'), ('skinraredisease ei', 'symptom heat intolerance', 'produces')}"
,,,is_a,set(),"{('skinraredisease ichthyosis hystrix', 'skinraredisease ei', 'is_a')}"
,,,anaphora,set(),set()
16,"{'produces', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,produces,"{('raredisease banti syndrome', 'sign hypertension within hepatic or portal veins', 'produces'), ('raredisease banti syndrome', 'sign fighting infection', 'produces'), ('disease cirrhosis', 'sign vascular obstruction of the liver', 'produces'), ('raredisease banti syndrome', 'sign abnormalities present at birth of such veins', 'produces'), ('raredisease banti syndrome', 'sign disorder of the spleen', 'produces'), ('raredisease banti syndrome', 'sign hypertension within splenic veins', 'produces'), ('raredisease banti syndrome', 'sign vascular obstruction of the liver', 'produces'), ('raredisease banti syndrome', 'sign removal and destruction of aged red blood cells', 'produces'), ('raredisease banti syndrome', 'sign spleen rapidly but prematurely destroys blood cells', 'produces')}","{('raredisease banti syndrome', 'sign hypertension splenic veins hepatic or portal veins', 'produces'), ('raredisease banti syndrome', 'sign congenital blood clots', 'produces'), ('raredisease banti syndrome', 'sign cirrhosis', 'produces'), ('raredisease banti syndrome', 'sign obstruction of splenic veins', 'produces'), ('raredisease banti syndrome', 'sign obstruction of hepatic or portal veins', 'produces'), ('raredisease banti syndrome', 'sign vascular obstruction', 'produces'), ('anaphor ""it""', 'sign increased arsenic levels', 'produces')}"
,,,anaphora,set(),set()
17,"{'increases_risk_of', 'anaphora'}",{'anaphora'},,,
,,,increases_risk_of,set(),"{('raredisease bilateral renal agenesis', 'raredisease potter syndrome', 'increases_risk_of')}"
,,,anaphora,set(),set()
18,set(),set(),,,
19,"{'increases_risk_of', 'produces', 'is_a', 'is_acron', 'anaphora'}","{'increases_risk_of', 'produces', 'is_a', 'is_acron', 'anaphora'}",,,
,,,increases_risk_of,"{('disease tuberculosis', 'raredisease tbm', 'increases_risk_of'), ('disease miliary tuberculosis', 'raredisease tbm', 'increases_risk_of')}","{('raredisease miliary tuberculosis', 'raredisease tuberculous meningitis', 'increases_risk_of')}"
,,,produces,"{('raredisease tuberculous meningitis', 'sign meningitis', 'produces')}",set()
,,,is_a,"{('raredisease tbm', 'disease meningitis', 'is_a')}","{('anaphor ""this form of meningitis""', 'disease meningitis', 'is_a'), ('raredisease tuberculous meningitis', 'disease meningitis', 'is_a')}"
,,,is_acron,set(),"{('raredisease tb', 'raredisease tuberculosis', 'is_acron')}"
,,,anaphora,set(),"{('raredisease tbm', 'anaphor ""the infection""', 'anaphora'), ('raredisease tuberculous meningitis', 'anaphor ""it""', 'anaphora'), ('raredisease tuberculous meningitis', 'anaphor ""this form of meningitis""', 'anaphora')}"
20,"{'', 'anaphora', 'is_a', 'is_acron'}","{'anaphora', 'is_a', 'is_acron'}",,,
,,,,set(),"{('anaphor ""it""', 'sign enzyme needed to break down certain very long-chain fatty acids', '')}"
,,,anaphora,"{('raredisease vlcadd', 'anaphor ""the disorder""', 'anaphora')}","{('raredisease vlcad', 'anaphor ""the disorder""', 'anaphora')}"
,,,is_a,"{('raredisease vlcadd', 'disease metabolic diseases', 'is_a'), ('raredisease lcadd', 'disease long-chain acyl-coa dehydrogenase deficiency', 'is_a'), ('raredisease vlcadd', 'disease fatty acid oxidation diseases', 'is_a')}","{('raredisease lcadd', 'raredisease long-chain acyl-coa dehydrogenase deficiency', 'is_a'), ('raredisease vlcadd', 'disease fatty acid oxidation (fod) diseases', 'is_a')}"
,,,is_acron,set(),"{('raredisease lcadd', 'raredisease long-chain acyl-coa dehydrogenase deficiency', 'is_acron')}"
21,"{'produces', 'anaphora', 'is_a', 'is_synon'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,"{('raredisease enterobiasis', 'sign severe rectal itching', 'produces')}","{('disease enterobiasis', 'sign severe rectal itching', 'produces')}"
,,,anaphora,"{('raredisease enterobiasis', 'anaphor ""the disorder""', 'anaphora'), ('raredisease pinworm infection', 'anaphor ""the disorder""', 'anaphora')}","{('disease enterobiasis', 'anaphor ""the disorder""', 'anaphora')}"
,,,is_a,"{('raredisease pinworm infection', 'disease contagious, parasitic infestation', 'is_a'), ('raredisease enterobiasis', 'disease contagious, parasitic infestation', 'is_a')}","{('disease enterobiasis', 'disease common, contagious, parasitic infestation', 'is_a')}"
,,,is_synon,set(),"{('disease pinworm infection', 'disease enterobiasis', 'is_synon')}"
22,"{'anaphora', 'is_a'}","{'produces', 'anaphora', 'is_a', 'is_acron'}",,,
,,,produces,"{('skinraredisease lichen sclerosus', 'sign squamous cell carcinoma', 'produces'), ('skinraredisease lichen sclerosus', 'sign skin affected', 'produces')}",
,,,is_acron,"{('skinraredisease balanitis xerotica obliterans', 'skinraredisease lichen sclerosus', 'is_acron')}",
,,,anaphora,"{('skinraredisease lichen sclerosus', 'anaphor ""the disease""', 'anaphora')}","{('skinraredisease balanitis xerotica obliterans', 'anaphor ""the disease""', 'anaphora')}"
,,,is_a,set(),set()
23,"{'produces', 'anaphora'}",{'anaphora'},,,
,,,produces,set(),"{('raredisease very early onset (veo) inflammatory bowel disease', ""sign crohn's disease in children less than 6 years old"", 'produces')}"
,,,anaphora,set(),"{(""raredisease pediatric crohn's disease"", 'anaphor ""it""', 'anaphora')}"
24,"{'produces', 'anaphora', 'is_a'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,"{('raredisease alkaptonuria', 'sign progressive arthritis of the large joints', 'produces'), ('raredisease alkaptonuria', 'sign accumulation of homogentisic acid', 'produces'), ('raredisease alkaptonuria', 'sign this change', 'produces'), ('raredisease alkaptonuria', 'sign dark urine', 'produces'), ('raredisease alkaptonuria', 'sign discoloration of the sclera', 'produces'), ('anaphor ""this condition""', 'symptom asymptomatic', 'produces'), ('raredisease alkaptonuria', 'sign urine that turns black when exposed to air', 'produces'), ('raredisease alkaptonuria', 'sign progressive arthritis of the spine', 'produces'), ('raredisease alkaptonuria', 'sign lack of functional levels of an enzyme required to breakdown homogentisic acid', 'produces'), ('raredisease alkaptonuria', 'sign discoloration of the skin overlying cartilage within the body', 'produces'), ('raredisease alkaptonuria', 'sign ochronosis', 'produces')}","{('skinraredisease alkaptonuria', 'sign urine that turns black when exposed to air', 'produces'), ('skinraredisease alkaptonuria', 'symptom asymptomatic during infancy or childhood', 'produces'), ('skinraredisease alkaptonuria', 'sign discoloration of the skin overlying cartilage', 'produces'), ('skinraredisease alkaptonuria', 'sign progressive arthritis of large joints', 'produces'), ('skinraredisease alkaptonuria', 'sign accumulation of homogentisic acid', 'produces'), ('skinraredisease alkaptonuria', 'sign ochronosis', 'produces'), ('skinraredisease alkaptonuria', 'sign progressive arthritis of the spine', 'produces'), ('skinraredisease alkaptonuria', 'sign dark urine', 'produces'), ('skinraredisease alkaptonuria', 'sign sclera discolored', 'produces'), ('skinraredisease alkaptonuria', 'sign lack enough functional levels of an enzyme required to breakdown homogentisic acid', 'produces')}"
,,,anaphora,"{('raredisease alkaptonuria', 'anaphor ""the disorder""', 'anaphora'), ('raredisease alkaptonuria', 'anaphor ""this condition""', 'anaphora')}","{('skinraredisease alkaptonuria', 'anaphor ""it""', 'anaphora'), ('skinraredisease alkaptonuria', 'anaphor ""the disorder""', 'anaphora')}"
,,,is_a,"{('raredisease alkaptonuria', 'disease genetic metabolic disorder', 'is_a')}","{('skinraredisease alkaptonuria', 'disease genetic metabolic disorder', 'is_a')}"
25,"{'produces', 'anaphora', 'is_a', 'is_acron'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,"{('raredisease primary lateral sclerosis', 'sign weakness', 'produces'), ('raredisease primary lateral sclerosis', 'sign painless but progressive weakness of the muscles at the base of the brain (bulbar muscles)', 'produces'), ('raredisease primary lateral sclerosis', 'sign painless but progressive weakness of the muscles of the arms', 'produces'), ('raredisease primary lateral sclerosis', 'sign painless but progressive weakness of the muscles of the legs', 'produces')}","{('raredisease primary lateral sclerosis', 'sign progressive weakness of the muscles of the legs', 'produces'), ('raredisease primary lateral sclerosis', 'sign ability to speak impaired', 'produces'), ('raredisease primary lateral sclerosis', 'sign weakness bulbar muscles', 'produces'), ('raredisease primary lateral sclerosis', 'sign stiffness of the muscles of the legs', 'produces'), ('disease motor neuron diseases', 'sign malfunction of the motor neurons', 'produces'), ('raredisease primary lateral sclerosis', 'sign weakness muscles of the face', 'produces'), ('raredisease primary lateral sclerosis', 'sign weakness arms', 'produces')}"
,,,anaphora,set(),set()
,,,is_a,"{('raredisease primary lateral sclerosis', 'disease motor neuron diseases', 'is_a')}","{('raredisease primary lateral sclerosis', 'sign stiffness of joints', 'is_a')}"
,,,is_acron,set(),"{('raredisease primary lateral sclerosis', 'raredisease primary lateral sclerosis', 'is_acron')}"
26,"{'produces', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,produces,"{('raredisease multifocal motor neuropathy', 'sign muscles cramps', 'produces'), ('raredisease multifocal motor neuropathy', 'sign atrophy', 'produces')}","{('raredisease multifocal motor neuropathy', 'sign slowly progressive muscle weakness of the g', 'produces'), ('anaphor ""the disorder""', 'sign atrophy of muscles', 'produces'), ('anaphor ""the disorder""', 'sign muscles cramps', 'produces'), ('anaphor ""the disorder""', 'sign presence of specific autoantibodies that target a specific protein in the body', 'produces'), ('raredisease multifocal motor neuropathy', 'sign slowly progressive muscle weakness of the arms', 'produces'), ('anaphor ""the disorder""', 'sign inflammation', 'produces'), ('anaphor ""the disorder""', 'sign abnormal functioning of the immune system', 'produces')}"
,,,anaphora,set(),set()
27,"{'produces', 'anaphora', 'is_a', 'is_acron'}","{'anaphora', 'is_a', 'is_acron'}",,,
,,,produces,set(),"{('anaphor ""it""', 'sign unbalanced translocation', 'produces'), ('raredisease asps', 'sign painless mass in the leg', 'produces'), ('raredisease asps', 'sign painless mass in the buttock', 'produces')}"
,,,anaphora,set(),"{('raredisease asps', 'anaphor ""the sarcoma""', 'anaphora'), ('raredisease asps', 'anaphor ""this tumor""', 'anaphora')}"
,,,is_a,"{('raredisease asps', 'disease cancers', 'is_a'), ('anaphor ""it""', 'raredisease soft tissue sarcomas', 'is_a')}","{('anaphor ""it""', 'disease soft tissue sarcomas', 'is_a'), ('anaphor ""it""', 'disease sarcomas', 'is_a'), ('disease soft tissue sarcomas', 'disease cancers', 'is_a'), ('anaphor ""the sarcoma""', 'disease sarcoma', 'is_a')}"
,,,is_acron,set(),set()
28,"{'produces', 'anaphora', 'is_a'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,set(),set()
,,,anaphora,"{('anaphor ""this disorder""', 'anaphor ""this disorder""', 'anaphora')}",set()
,,,is_a,"{('anaphor ""this disorder""', 'disease blood disorder', 'is_a')}","{('raredisease hereditary nonspherocytic hemolytic anemia', 'disease genetically transmitted blood disorders', 'is_a'), ('raredisease hereditary nonspherocytic hemolytic anemia', 'disease blood disorder', 'is_a')}"
29,{'anaphora'},{'anaphora'},,,
,,,anaphora,"{('raredisease hartnup disease', 'anaphor ""it""', 'anaphora'), ('raredisease slc6a19 hartnup disease', 'anaphor ""the disorder""', 'anaphora')}","{('skinraredisease hartnup disease', 'anaphor ""it""', 'anaphora'), ('skinraredisease hartnup disease', 'anaphor ""the disorder""', 'anaphora')}"
30,"{'anaphora', 'is_a'}",{'anaphora'},,,
,,,anaphora,set(),"{('raredisease soft tissue sarcomas', 'anaphor ""this""', 'anaphora')}"
,,,is_a,set(),"{('raredisease soft tissue sarcomas', 'disease cancers', 'is_a'), ('raredisease soft tissue sarcomas', 'disease tumors', 'is_a')}"
31,"{'anaphora', 'is_a'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,"{('raredisease cadasil', 'sign small blood vessels in the brain', 'produces')}",
,,,anaphora,set(),set()
,,,is_a,set(),set()
32,{'is_a'},{'produces'},,,
,,,produces,"{('raredisease berylliosis', 'sign metal poisoning', 'produces'), ('raredisease berylliosis', 'sign toxic effects of beryllium', 'produces')}",
,,,is_a,set(),"{('raredisease berylliosis', 'disease metal poisoning', 'is_a')}"
33,"{'produces', 'anaphora', 'is_a'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,"{('raredisease cleidocranial dysplasia', 'sign premature closing of the soft spot on the head', 'produces'), ('raredisease cleidocranial dysplasia', 'sign delayed closure of the space between the bones of the skull', 'produces'), ('raredisease cleidocranial dysplasia', 'sign moderately short stature', 'produces')}","{('raredisease cleidocranial dysplasia', 'sign delayed closure of the fontanels', 'produces'), ('raredisease cleidocranial dysplasia', 'sign premature closing of the coronal', 'produces')}"
,,,anaphora,set(),set()
,,,is_a,set(),set()
34,"{'produces', 'is_acron'}","{'produces', 'is_acron'}",,,
,,,produces,"{('raredisease fas', 'sign physical abnormalities', 'produces'), ('raredisease fas', 'sign learning abnormalities', 'produces'), ('raredisease fas', 'sign mental retardation', 'produces'), ('raredisease fetal alcohol syndrome', 'sign malformations of the skull and facial (craniofacial) region', 'produces'), ('raredisease fetal alcohol syndrome', 'sign prenatal growth retardation', 'produces'), ('raredisease fetal alcohol syndrome', 'sign mental and physical birth defects', 'produces'), ('raredisease fas', 'sign behavioral problems', 'produces'), ('raredisease fetal alcohol syndrome', 'sign physical findings', 'produces'), ('raredisease fetal alcohol syndrome', 'sign brain abnormalities', 'produces'), ('raredisease fetal alcohol syndrome', 'sign postnatal growth retardation', 'produces')}","{('disease fetal alcohol syndrome', 'sign mental and physical birth defects', 'produces'), ('disease fetal alcohol syndrome', 'sign brain abnormalities', 'produces'), ('disease fas', 'sign varying degrees of mental retardation', 'produces'), ('disease fas', 'sign learning abnormalities', 'produces'), ('disease fas', 'sign mental retardation', 'produces'), ('disease fetal alcohol syndrome', 'sign malformations of the skull and facial (craniofacial) region', 'produces'), ('disease fetal alcohol syndrome', 'sign postnatal growth retardation', 'produces'), ('disease fas', 'sign behavioral problems', 'produces'), ('disease fetal alcohol syndrome', 'sign prenatal growth retardation', 'produces')}"
,,,is_acron,"{('raredisease fas', 'raredisease fetal alcohol syndrome', 'is_acron')}","{('disease fas', 'disease fetal alcohol syndrome', 'is_acron')}"
35,"{'is_a', 'is_synon'}","{'produces', 'anaphora', 'is_a'}",,,
,,,produces,"{('raredisease trisomy 9p', 'sign trisomy', 'produces')}",
,,,anaphora,"{('raredisease trisomy 9p', 'anaphor ""the disorder""', 'anaphora')}",
,,,is_a,set(),set()
,,,is_synon,set(),"{(""raredisease edwards's syndrome"", 'raredisease trisomy 18', 'is_synon'), ('raredisease down syndrome', 'raredisease trisomy 21', 'is_synon'), ('raredisease patau syndrome', 'raredisease trisomy 13', 'is_synon')}"
36,"{'produces', 'is_a'}","{'produces', 'is_a'}",,,
,,,produces,"{('raredisease glucose-galactose malabsorption', 'sign glucose absorption', 'produces'), ('raredisease glucose-galactose malabsorption', 'sign watery diarrhea', 'produces'), ('raredisease glucose-galactose malabsorption', 'sign galactose absorption', 'produces')}","{('raredisease ggm', 'sign watery diarrhea', 'produces')}"
,,,is_a,set(),set()
37,"{'produces', 'anaphora', 'is_a'}","{'produces', 'anaphora'}",,,
,,,produces,"{('anaphor ""the chromosomal abnormality""', 'sign intellectual disability', 'produces'), ('anaphor ""the chromosomal abnormality""', 'sign growth retardation', 'produces'), ('anaphor ""the chromosomal abnormality""', 'sign malformations of the skull and facial (craniofacial) region', 'produces'), ('anaphor ""the chromosomal abnormality""', 'sign heart defects', 'produces'), ('anaphor ""the chromosomal abnormality""', 'sign genital abnormalities', 'produces')}","{('raredisease chromosome 9 ring', 'sign moderate to severe intellectual disability', 'produces'), ('raredisease chromosome 9 ring', 'sign heart defects', 'produces'), ('raredisease chromosome 9 ring', 'sign growth retardation', 'produces'), ('raredisease chromosome 9 ring', 'sign genital abnormalities', 'produces'), ('raredisease chromosome 9 ring', 'sign malformations of the skull and facial (craniofacial) region', 'produces')}"
,,,anaphora,"{('raredisease chromosome 9 ring', 'anaphor ""the chromosomal abnormality""', 'anaphora')}",set()
,,,is_a,set(),"{('raredisease chromosome 9 ring', 'disease chromosomal abnormality', 'is_a')}"
38,set(),set(),,,
39,{'produces'},{'produces'},,,
,,,produces,"{('raredisease congenital heart block', 'sign conduction abnormalities', 'produces'), ('raredisease congenital heart block', 'sign complete congenital heart block', 'produces'), ('raredisease congenital heart block', 'sign interference with the transfer of the electrical nerve impulses', 'produces')}",set()
40,"{'increases_risk_of', 'is_a', 'is_acron'}","{'produces', 'increases_risk_of', 'is_a', 'is_acron'}",,,
,,,produces,"{('raredisease primary central nervous system lymphoma', 'sign brain tumors', 'produces')}",
,,,increases_risk_of,"{('disease viral load', 'raredisease primary cns lymphoma', 'increases_risk_of'), ('disease hiv/ aids', 'raredisease primary cns lymphoma', 'increases_risk_of'), ('disease immunosuppression', 'raredisease primary cns lymphoma', 'increases_risk_of'), ('disease low cd4+ cell count', 'raredisease primary cns lymphoma', 'increases_risk_of')}","{('disease aids', 'raredisease primary cns lymphoma', 'increases_risk_of'), ('disease hiv', 'raredisease primary cns lymphoma', 'increases_risk_of')}"
,,,is_a,"{('raredisease pcnsl', 'disease brain tumor', 'is_a')}","{('raredisease primary cns lymphoma', 'disease brain tumor', 'is_a')}"
,,,is_acron,set(),set()
41,"{'anaphora', 'is_a'}","{'anaphora', 'is_a'}",,,
,,,anaphora,set(),set()
,,,is_a,set(),set()
42,"{'produces', 'anaphora', 'is_acron'}","{'produces', 'anaphora'}",,,
,,,produces,"{('anaphor ""this condition""', 'sign absence of reflexes', 'produces'), ('anaphor ""this condition""', 'sign ataxia', 'produces'), ('anaphor ""this condition""', 'symptom pain', 'produces'), ('anaphor ""this condition""', 'sign respiratory insufficiency', 'produces'), ('anaphor ""this condition""', 'sign scoliosis', 'produces'), ('anaphor ""this condition""', 'sign muscle loss (atrophy) of leg muscles', 'produces'), ('anaphor ""this condition""', 'sign mild vision difficulties', 'produces'), ('anaphor ""this condition""', 'sign loss of heat sensitivity', 'produces')}","{('raredisease dss', 'sign atrophy of leg muscles', 'produces'), ('raredisease dss', 'sign ataxia', 'produces'), ('raredisease dss', 'sign respiratory insufficiency', 'produces'), ('raredisease dss', 'sign delayed motor milestones', 'produces'), ('raredisease dss', 'sign scoliosis', 'produces'), ('raredisease dss', 'sign loss of heat sensitivity', 'produces'), ('raredisease dss', 'sign muscle weakness', 'produces'), ('raredisease dss', 'sign mild vision difficulties', 'produces'), ('anaphor ""the condition""', 'sign hand and forearm muscles may become weak', 'produces'), ('raredisease dss', 'sign absence of reflexes', 'produces'), ('raredisease dss', 'symptom pain', 'produces')}"
