doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
,,,produces,"{('banti syndrome', 'hepatic veins', 'produces'), ('banti syndrome', 'obstruction of veins of the liver', 'produces'), ('banti syndrome', 'abnormalities within the spleen', 'produces'), ('banti syndrome', 'splenic veins', 'produces'), ('banti syndrome', 'inflammation of veins of the liver', 'produces'), ('banti syndrome produces large, gland-like organ in the upper left side of the abdomen', 'red blood cells before birth', 'produces'), ('banti syndrome', 'vascular obstruction of the liver', 'produces'), ('banti syndrome', 'hypertension within', 'produces'), ('banti syndrome', 'aged red blood cells', 'produces'), ('banti syndrome', 'spleen', 'produces')}","{('banti syndrome', 'cirrhosis', 'produces'), ('""it""', 'increased arsenic levels', 'produces'), ('banti syndrome', 'obstruction of splenic veins', 'produces'), ('banti syndrome', 'hypertension splenic veins hepatic or portal veins', 'produces'), ('banti syndrome', 'vascular obstruction', 'produces'), ('banti syndrome', 'obstruction of hepatic or portal veins', 'produces'), ('banti syndrome', 'congenital blood clots', 'produces')}"
Potter-Syndrome,"{'anaphora', 'increases_risk_of'}","{'anaphora', 'increases_risk_of'}",,,
,,,anaphora,"{('potter syndrome', '""it""', 'anaphora')}",set()
,,,increases_risk_of,"{('bilateral renal agenesis', '""this condition""', 'increases_risk_of')}","{('bilateral renal agenesis', 'potter syndrome', 'increases_risk_of')}"
SLC13A5-Epileptic-Encephalopathy,set(),set(),,,
Meningitis-Tuberculous,"{'increases_risk_of', 'is_acron', 'produces', 'is_a', 'anaphora'}","{'anaphora', 'produces'}",,,
,,,increases_risk_of,set(),"{('miliary tuberculosis', 'tuberculous meningitis', 'increases_risk_of')}"
,,,is_acron,set(),"{('tbm', 'tuberculous meningitis', 'is_acron'), ('tb', 'tuberculosis', 'is_acron')}"
,,,produces,"{('tuberculous meningitis', 'meningitis', 'produces')}",set()
,,,is_a,set(),"{('tuberculous meningitis', 'meningitis', 'is_a'), ('""this form of meningitis""', 'meningitis', 'is_a')}"
,,,anaphora,"{('tuberculous meningitis', '""the disorder""', 'anaphora')}","{('tbm', '""the infection""', 'anaphora'), ('tbm', '""the disorder""', 'anaphora'), ('tbm', '""it""', 'anaphora')}"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"{'produces', 'anaphora', 'is_acron', 'is_a'}","{'produces', 'anaphora', 'is_acron', 'is_a'}",,,
,,,produces,"{('""it""', 'fatty acid oxidation diseases', 'produces')}","{('""it""', 'enzyme needed to break down certain very long-chain fatty acids is missing or not working properly', 'produces')}"
,,,anaphora,"{('vlcadd', '""the disorder""', 'anaphora')}","{('vlcad', '""the disorder""', 'anaphora')}"
,,,is_acron,set(),"{('lcadd', 'long-chain acyl-coa dehydrogenase deficiency', 'is_acron')}"
,,,is_a,"{('lcadd', 'metabolic diseases', 'is_a')}","{('lcadd', 'long-chain acyl-coa dehydrogenase deficiency', 'is_a'), ('vlcadd', 'fatty acid oxidation (fod) diseases', 'is_a')}"
Enterobiasis,"{'anaphora', 'produces', 'is_a', 'is_synon'}","{'produces', 'is_a'}",,,
,,,anaphora,set(),"{('enterobiasis', '""the disorder""', 'anaphora')}"
,,,produces,set(),set()
,,,is_a,"{('enterobiasis', 'contagious, parasitic disorder', 'is_a')}","{('enterobiasis', 'common, contagious, parasitic infestation', 'is_a')}"
,,,is_synon,set(),"{('pinworm infection', 'enterobiasis', 'is_synon')}"
Lichen-Sclerosus,"{'anaphora', 'is_a'}","{'anaphora', 'produces', 'is_a'}",,,
,,,produces,"{('balanitis xerotica obliterans', 'lichen sclerosus', 'produces'), ('balanitis xerotica obliterans', 'vulvar lichen sclerosus', 'produces')}",
,,,anaphora,"{('lichen sclerosus', '""the disease""', 'anaphora')}","{('balanitis xerotica obliterans', '""the disease""', 'anaphora')}"
,,,is_a,"{('balanitis xerotica obliterans', 'chronic inflammatory skin disorder', 'is_a'), ('""the condition""', 'skin disorders', 'is_a')}",set()
Pediatric-Crohns-Disease,"{'anaphora', 'produces'}","{'anaphora', 'is_a'}",,,
,,,is_a,"{('""the disorder""', 'inflammatory bowel disease', 'is_a')}",
,,,anaphora,set(),"{(""pediatric crohn's disease"", '""it""', 'anaphora')}"
,,,produces,set(),"{('very early onset (veo) inflammatory bowel disease', ""crohn's disease in children less than 6 years old"", 'produces')}"
Alkaptonuria,"{'anaphora', 'produces', 'is_a'}","{'anaphora', 'produces', 'is_a'}",,,
,,,anaphora,"{('alkaptonuria', '""this condition""', 'anaphora')}",set()
,,,produces,"{('alkaptonuria', 'lack of enough functional levels of an enzyme required to breakdown homogentisic acid', 'produces'), ('alkaptonuria', 'accumulation of homogentisic acid in the body', 'produces'), ('alkaptonuria', 'asymptomatic', 'produces'), ('alkaptonuria', 'large joints', 'produces')}","{('alkaptonuria', 'asymptomatic during infancy or childhood', 'produces'), ('alkaptonuria', 'discoloration of the skin overlying cartilage', 'produces'), ('alkaptonuria', 'accumulation of homogentisic acid', 'produces'), ('alkaptonuria', 'progressive arthritis of large joints', 'produces'), ('alkaptonuria', 'lack enough functional levels of an enzyme required to breakdown homogentisic acid', 'produces'), ('alkaptonuria', 'sclera discolored', 'produces')}"
,,,is_a,set(),set()
Primary-Lateral-Sclerosis,"{'anaphora', 'produces', 'is_a', 'is_acron'}","{'anaphora', 'produces', 'is_a', 'is_acron'}",,,
,,,anaphora,"{('primary lateral sclerosis', '""it""', 'anaphora')}",set()
,,,produces,"{('primary lateral sclerosis', 'painless progressive weakness of the muscles of the legs', 'produces'), ('""the disorder""', 'bulbar muscles', 'produces'), ('primary lateral sclerosis', 'stiffness of the muscles of the arms', 'produces'), ('primary lateral sclerosis', 'weakness', 'produces'), ('""the disorder""', 'weakness of the muscles at the base of the brain', 'produces'), ('""the disorder""', 'spasticity', 'produces'), ('""the disorder""', 'weakness of the muscles of the arms', 'produces'), ('""the disorder""', 'difficulty in speaking', 'produces'), ('primary lateral sclerosis', 'stiffness of the muscles at the base of the brain', 'produces'), ('primary lateral sclerosis', 'paralysis of the legs', 'produces'), ('""the disorder""', 'muscles affected', 'produces')}","{('primary lateral sclerosis', 'cramps', 'produces'), ('motor neuron diseases', 'malfunction of the motor neurons', 'produces'), ('primary lateral sclerosis', 'weakness bulbar muscles', 'produces'), ('primary lateral sclerosis', 'progressive weakness of the muscles of the legs', 'produces'), ('primary lateral sclerosis', 'spasticity', 'produces'), ('primary lateral sclerosis', 'weakness arms', 'produces'), ('primary lateral sclerosis', 'weakness muscles of the face', 'produces'), ('primary lateral sclerosis', 'ability to speak impaired', 'produces'), ('primary lateral sclerosis', 'muscle weakness', 'produces'), ('primary lateral sclerosis', 'muscular contractions', 'produces'), ('primary lateral sclerosis', 'stiffness of the muscles of the legs', 'produces'), ('primary lateral sclerosis', 'stiffness of joints', 'produces')}"
,,,is_a,"{('pls', 'motor neuron diseases', 'is_a'), ('""the disorder""', 'motor neuron diseases', 'is_a')}","{('primary lateral sclerosis', 'stiffness of joints', 'is_a')}"
,,,is_acron,"{('pls', 'primary lateral sclerosis', 'is_acron')}","{('primary lateral sclerosis', 'primary lateral sclerosis', 'is_acron')}"
Multifocal-Motor-Neuropathy,"{'anaphora', 'produces'}","{'anaphora', 'produces', 'is_a'}",,,
,,,is_a,"{('multifocal motor neuropathy', 'motor neuropathy', 'is_a')}",
,,,anaphora,set(),set()
,,,produces,"{('""the disorder""', 'specific autoantibodies that target a specific protein in the body', 'produces')}","{('multifocal motor neuropathy', 'slowly progressive muscle weakness of the g', 'produces'), ('multifocal motor neuropathy', 'slowly progressive muscle weakness of the arms', 'produces'), ('multifocal motor neuropathy', 'slowly progressive muscle weakness', 'produces'), ('""the disorder""', 'muscles cramps', 'produces'), ('""the disorder""', 'presence of specific autoantibodies that target a specific protein in the body', 'produces'), ('""the disorder""', 'atrophy of muscles', 'produces')}"
Alveolar-Soft-Part-Sarcoma,"{'produces', 'anaphora', 'is_acron', 'is_a'}","{'anaphora', 'produces', 'is_a'}",,,
,,,produces,"{('asps', 'tumor', 'produces'), ('asps', '""this disorder""', 'produces'), ('asps', 'sarcoma', 'produces'), ('asps', 'multiple nodules', 'produces'), ('asps', 'painless mass', 'produces')}","{('asps', 'painless mass in the buttock', 'produces'), ('asps', 'painless mass in the leg', 'produces'), ('""it""', 'unbalanced translocation', 'produces')}"
,,,anaphora,"{('alveolar soft part sarcoma', '""this disorder""', 'anaphora')}","{('asps', '""the sarcoma""', 'anaphora'), ('asps', '""this tumor""', 'anaphora'), ('asps', '""the disorder""', 'anaphora')}"
,,,is_acron,set(),"{('asps', 'alveolar soft part sarcoma', 'is_acron')}"
,,,is_a,"{('alveolar soft part sarcoma', 'soft tissue tumor', 'is_a')}","{('soft tissue sarcomas', 'cancers', 'is_a'), ('""it""', 'soft tissue sarcomas', 'is_a'), ('""it""', 'sarcomas', 'is_a'), ('alveolar soft part sarcoma', 'slow growing soft tissue tumor', 'is_a'), ('""the sarcoma""', 'sarcoma', 'is_a')}"
Anemia-Hereditary-Nonspherocytic-Hemolytic,"{'anaphora', 'produces', 'is_a'}","{'anaphora', 'produces', 'is_a'}",,,
,,,anaphora,set(),set()
,,,produces,set(),set()
,,,is_a,set(),"{('hereditary nonspherocytic hemolytic anemia', 'genetically transmitted blood disorders', 'is_a')}"
Hartnup-Disease,{'anaphora'},{'anaphora'},,,
,,,anaphora,"{('slc6a19 hartnup disease', '""the disorder""', 'anaphora')}","{('hartnup disease', '""the disorder""', 'anaphora')}"
Soft-Tissue-Sarcoma,"{'anaphora', 'is_a'}",{'anaphora'},,,
,,,anaphora,"{('soft tissue sarcomas', '""this tumors""', 'anaphora')}","{('soft tissue sarcomas', '""they""', 'anaphora'), ('soft tissue sarcomas', '""this""', 'anaphora')}"
,,,is_a,set(),"{('soft tissue sarcomas', 'cancers', 'is_a'), ('soft tissue sarcomas', 'tumors', 'is_a')}"
CADASIL,"{'anaphora', 'is_a'}","{'anaphora', 'is_a'}",,,
,,,anaphora,set(),set()
,,,is_a,set(),set()
Berylliosis,{'is_a'},"{'anaphora', 'produces', 'is_a'}",,,
,,,anaphora,"{('berylliosis', '""the toxic effect""', 'anaphora')}",
,,,produces,"{('berylliosis', 'occupational exposure to beryllium', 'produces')}",
,,,is_a,set(),set()
Cleidocranial-Dysplasia,"{'anaphora', 'produces', 'is_a'}","{'anaphora', 'produces', 'is_a'}",,,
,,,anaphora,set(),set()
,,,produces,"{('cleidocranial dysplasia', 'moderately short stature', 'produces'), ('cleidocranial dysplasia', 'delayed closure of the soft spot on the head', 'produces'), ('cleidocranial dysplasia', 'defective or absent clavicles', 'produces'), ('cleidocranial dysplasia', 'narrow and abnormally shaped pelvic bones', 'produces'), ('cleidocranial dysplasia', 'fontanels', 'produces'), ('cleidocranial dysplasia', 'deformed chest', 'produces'), ('cleidocranial dysplasia', 'clavicles', 'produces')}","{('cleidocranial dysplasia', 'premature closing of the coronal', 'produces'), ('cleidocranial dysplasia', 'deformations in the chest', 'produces'), ('cleidocranial dysplasia', 'narrow and abnormally shaped pelvic and pubic bones', 'produces'), ('cleidocranial dysplasia', 'delayed closure of the fontanels', 'produces'), ('cleidocranial dysplasia', 'defective or absent collarbones', 'produces')}"
,,,is_a,set(),set()
Fetal-Alcohol-Syndrome,"{'is_acron', 'produces'}","{'anaphora', 'produces', 'is_a'}",,,
,,,anaphora,"{('fetal alcohol syndrome', '""the disorder""', 'anaphora')}",
,,,is_a,"{('fetal alcohol syndrome', 'characteristic pattern of mental and physical birth defects', 'is_a')}",
,,,is_acron,set(),"{('fas', 'fetal alcohol syndrome', 'is_acron')}"
,,,produces,"{('fetal alcohol syndrome', 'mental retardation', 'produces'), ('""the disorder""', 'mental retardation', 'produces'), ('fetal alcohol syndrome', 'physical abnormalities', 'produces')}","{('fetal alcohol syndrome', 'mental and physical birth defects', 'produces'), ('fas', 'learning abnormalities', 'produces'), ('fas', 'varying degrees of mental retardation', 'produces'), ('fas', 'behavioral problems', 'produces'), ('fas', 'mental retardation', 'produces')}"
Trisomy-9p-(Multiple-Variants),"{'is_synon', 'is_a'}","{'anaphora', 'is_a'}",,,
,,,anaphora,"{('trisomy 9p', '""the disorder""', 'anaphora')}",
,,,is_synon,set(),"{('down syndrome', 'trisomy 21', 'is_synon'), (""edwards's syndrome"", 'trisomy 18', 'is_synon'), ('patau syndrome', 'trisomy 13', 'is_synon')}"
,,,is_a,set(),set()
Glucose,"{'produces', 'is_a'}","{'anaphora', 'is_acron', 'produces', 'is_a'}",,,
,,,anaphora,"{('glucose-galactose malabsorption', '""they""', 'anaphora')}",
,,,is_acron,"{('ggm', 'glucose-galactose malabsorption', 'is_acron')}",
,,,produces,"{('""it""', 'watery diarrhea', 'produces'), ('glucose-galactose malabsorption', ""small intestine's inability to absorb and absorb glucose and galactose"", 'produces')}","{('ggm', 'watery diarrhea', 'produces'), ('glucose-galactose malabsorption', ""small intestine's inability to transport and absorb glucose and galactose"", 'produces')}"
,,,is_a,set(),set()
Chromosome-9-Ring,"{'anaphora', 'produces', 'is_a'}","{'anaphora', 'produces'}",,,
,,,anaphora,"{('chromosome 9 ring', '""the chromosomal abnormality""', 'anaphora')}",set()
,,,produces,"{('""the chromosomal abnormality""', 'genital abnormalities', 'produces'), ('""the chromosomal abnormality""', 'growth retardation', 'produces'), ('""the chromosomal abnormality""', 'heart defects', 'produces'), ('""the chromosomal abnormality""', 'malformations of the skull and facial (craniofacial) region', 'produces'), ('""the chromosomal abnormality""', 'moderate to severe intellectual disability', 'produces'), ('""the chromosomal abnormality""', 'physical features', 'produces')}","{('chromosome 9 ring', 'moderate to severe intellectual disability', 'produces'), ('chromosome 9 ring', 'genital abnormalities', 'produces'), ('chromosome 9 ring', 'malformations of the skull and facial (craniofacial) region', 'produces'), ('chromosome 9 ring', 'growth retardation', 'produces'), ('chromosome 9 ring', 'heart defects', 'produces')}"
,,,is_a,set(),"{('chromosome 9 ring', 'chromosomal abnormality', 'is_a')}"
WHIM-Syndrome,set(),set(),,,
Heart-Block-Congenital,{'produces'},"{'anaphora', 'increases_risk_of', 'produces'}",,,
,,,anaphora,"{('congenital heart block', '""the disorder""', 'anaphora')}",
,,,increases_risk_of,"{('congenital heart block', '""this""', 'increases_risk_of')}",
,,,produces,"{('congenital heart block', 'conduction abnormalities', 'produces')}","{('congenital heart block', 'heart block', 'produces')}"
Primary-Central-Nervous-System-Lymphoma,"{'is_acron', 'increases_risk_of', 'is_a'}","{'anaphora', 'is_acron', 'produces', 'is_a'}",,,
,,,anaphora,"{('primary central nervous system lymphoma', '""this""', 'anaphora'), ('primary central nervous system lymphoma', '""it""', 'anaphora')}",
,,,produces,"{('pcnsl', 'immunosuppression', 'produces'), ('pcnsl', 'impaired immune system', 'produces')}",
,,,is_acron,set(),set()
,,,increases_risk_of,set(),"{('hiv', 'primary cns lymphoma', 'increases_risk_of'), ('aids', 'primary cns lymphoma', 'increases_risk_of'), ('congenital immunodeficiency syndromes', 'primary cns lymphoma', 'increases_risk_of')}"
,,,is_a,"{('pcnsl', 'brain tumor', 'is_a'), ('primary central nervous system lymphoma', 'brain tumor', 'is_a')}","{('primary central nervous system lymphoma', 'brain tumors', 'is_a'), ('primary cns lymphoma', 'brain tumor', 'is_a')}"
Hyperekplexia,"{'anaphora', 'is_a'}","{'anaphora', 'produces', 'is_a'}",,,
,,,produces,"{('hyperekplexia', 'acute pain response', 'produces'), ('hyperekplexia', 'spasticity', 'produces')}",
,,,anaphora,set(),set()
,,,is_a,set(),set()
Dejerine,"{'anaphora', 'is_acron', 'produces'}",{'produces'},,,
,,,anaphora,set(),"{('dejerine-sottas syndrome', '""it""', 'anaphora'), ('dejerine-sottas syndrome', '""this disorder""', 'anaphora'), ('dss', '""the condition""', 'anaphora')}"
,,,is_acron,set(),"{('dss', 'dejerine-sottas syndrome', 'is_acron')}"
,,,produces,"{('dss', 'walking at preschool age', 'produces'), ('dss', 'hand weakness', 'produces'), ('dss', 'sudden onset of sensation', 'produces'), ('dss', 'school age', 'produces'), ('dss', 'foot weakness', 'produces'), ('dss', 'breathing at rest', 'produces'), ('dss', 'muscle loss', 'produces')}","{('dss', 'atrophy of leg muscles', 'produces'), ('""the condition""', 'hand and forearm muscles may become weak', 'produces'), ('dss', 'mild vision difficulties', 'produces'), ('dss', 'pain', 'produces')}"
Dysplasia-Epiphysealis-Hemimelica,"{'is_synon', 'is_acron', 'produces', 'is_a', 'anaphora'}","{'anaphora', 'produces', 'is_a'}",,,
,,,is_synon,set(),"{(""trevor's disease,"", 'dysplasia epiphysealis hemimelica', 'is_synon')}"
,,,is_acron,set(),"{('deh', 'dysplasia epiphysealis hemimelica', 'is_acron')}"
,,,produces,"{('""it""', 'abnormal growth of cartilage', 'produces'), ('""it""', 'upper limbs', 'produces'), ('""it""', 'generalized', 'produces'), ('""it""', 'bone of the knee', 'produces'), ('""it""', 'bone of the ankle joints', 'produces'), ('""it""', 'tarsal bones', 'produces')}","{('""it""', 'abnormal growth of cartilage arising from the cartilage of the terminal ends (epiphysis) of the long bones of the lower limbs', 'produces'), ('""it""', 'abnormal cartilage', 'produces'), ('""it""', 'irregular nodular mass located either in the medial or lateral part of the bone', 'produces'), ('""it""', 'abnormal growth of cartilage arising from the cartilage of the terminal ends (epiphysis) of the long bones', 'produces')}"
,,,is_a,"{('dysplasia epiphysealis hemimelica', 'developmental bone disease of childhood', 'is_a'), ('deh', 'developmental bone disease', 'is_a')}","{('dysplasia epiphysealis hemimelica', 'bone disease', 'is_a')}"
,,,anaphora,"{('deh', '""it""', 'anaphora')}","{('deh', '""this condition""', 'anaphora'), ('deh', '""this disease""', 'anaphora')}"
Duchenne-Muscular-Dystrophy,{'is_a'},"{'anaphora', 'is_a'}",,,
,,,anaphora,"{('dmd', '""the muscular dystrophies""', 'anaphora')}",
