doc_name,fp_prediction
Chromosome-6-Partial-Trisomy-6q,"('raredisease chromosome 6, partial trisomy 6q', 'sign abnormal bending (flexion) or extension of certain joints in fixed postures', 'produces')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'sign mivacurium', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('anaphor ""it""', 'disease immune system', 'is_a')"
Epidermolytic-Ichthyosis,"('skinraredisease ei', 'sign brown-grey hyperkeratosis', 'produces')"
Carnosinemia,"('anaphor ""this disorder""', 'sign involuntary jerking muscle movements of the arms', 'produces')"
Arthritis-Infectious,"('raredisease infectious arthritis', 'symptom headaches', 'produces')"
Barakat-Syndrome,"('raredisease hypocalcemia', 'sign tetany', 'produces')"
AP,"('raredisease ap-4-hsp', 'sign seizures', 'produces')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign after urination an hour without symptoms', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('raredisease primary central nervous system lymphoma', 'disease brain tumor', 'is_a')"
Multifocal-Motor-Neuropathy,"('raredisease multifocal motor neuropathy', 'sign inflammation', 'produces')"
Gitelman-Syndrome,"('raredisease gitelman syndrome', 'sign salt wasting', 'produces')"
Buerger_s-Disease,"(""raredisease buerger's disease"", 'sign inflammation', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('raredisease wmg', 'sign bleeding in the nose', 'produces')"
Townes-Brocks-Syndrome,"('raredisease townes-brocks syndrome', 'sign abnormalities in the hands', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('raredisease sspe', 'anaphor ""this disorder""', 'anaphora')"
Hypoplastic-Left-Heart-Syndrome,"('raredisease hypoplastic left heart syndrome', 'sign congenital heart defects', 'is_a')"
Alpers-Disease,"('raredisease alpers disease', 'sign increased density of the optic nerve', 'produces')"
Duchenne-Muscular-Dystrophy,"('raredisease dmd', 'anaphor ""the muscular dystrophies""', 'anaphora')"
AP,"('raredisease ap-4-hsp', 'sign spasticity', 'produces')"
Arteriovenous-Malformation,"('raredisease avm and sign high flow rates in the arteries leading to', 'within the avm', 'produces')"
Kienbock-Disease,"('raredisease kienbock disease and sign thickening, swelling', 'tenderness in soft tissue overlying the lunate bone', 'produces')"
Multifocal-Motor-Neuropathy,"('raredisease pediatric cases', 'raredisease multifocal motor neuropathy', 'is_acron')"
Barakat-Syndrome,"('raredisease congenital anomalies of the kidney and urinary tract', 'anaphor ""this syndrome""', 'anaphora')"
West-Syndrome,"('raredisease epileptic spasms', 'raredisease west syndrome', 'is_acron')"
Empty-Sella-Syndrome,"('raredisease empty sella syndrome', 'anaphor ""it""', 'anaphora')"
Pseudo-Hurler-Polydystrophy,"('raredisease pseudo-hurler polydystrophy', 'sign skeletal deformities', 'produces')"
Retroperitoneal-Fibrosis,"('raredisease retroperitoneal fibrosis', 'sign fibrosis', 'produces')"
Kienbock-Disease,"('raredisease kienbock disease', 'sign stiffness in the overlying tissues', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('raredisease pcnsl', 'disease brain tumor', 'is_a')"
Cat-Eye-Syndrome,"('raredisease ces', 'sign elongated pupil', 'produces')"
Monilethrix,"('skinraredisease monilethrix', 'sign papules surrounding the hair follicles', 'produces')"
Ovotesticular-Disorder-of-Sex-Development,"('raredisease ovotesticular disorder of sex development', 'raredisease ovotesticular disorder of sex development', 'is_acron')"
Schindler-disease,"('raredisease schindler disease', 'anaphor ""type i""', 'anaphora')"
Arthritis-Infectious,"('raredisease infectious arthritis', 'symptom general weakness', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease creutzfeldt-jakob disease', 'sign neuromuscular abnormalities', 'produces')"
Heart-Block-Congenital,"('raredisease congenital heart block', 'anaphor ""this disorder""', 'anaphora')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign after exposure to light white', 'produces')"
Leukodystrophy,"('raredisease leukodystrophies', 'sign myelin sheath', 'produces')"
Schindler-disease,"('raredisease schindler disease', 'sign glycoproteins', 'produces')"
Epidermolytic-Ichthyosis,"('skinraredisease ei', 'sign ichthyosis hystrix', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('anaphor ""it""', 'sign tumors', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('anaphor ""it""', 'sign multiple nodules', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('anaphor ""the disease""', 'sign seizures', 'produces')"
Cat-Eye-Syndrome,"('raredisease ces', 'sign ocular abnormality', 'produces')"
Carnosinemia,"('raredisease carnosinemia', 'sign intellectual deficits', 'produces')"
Ewing-Sarcoma,"('anaphor ""these tumors""', 'disease tumor', 'is_a')"
Townes-Brocks-Syndrome,"('raredisease townes-brocks syndrome', 'sign absence of the anal opening', 'produces')"
Primary-Lateral-Sclerosis,"('raredisease primary lateral sclerosis', 'sign weakness of the muscles at the base of the brain', 'produces')"
Chromosome-14-Ring,"('raredisease chromosome 14 ring', 'sign high forehead', 'produces')"
Cleidocranial-Dysplasia,"('raredisease cleidocranial dysplasia', 'sign defective or absent clavicles', 'produces')"
Cornelia-de-Lange-Syndrome,"('skinraredisease cornelia de lange syndrome', 'anaphor ""the disorder""', 'anaphora')"
Ovotesticular-Disorder-of-Sex-Development,"('raredisease ovotesticular disorder of sex development and sign gonads are female ovaries', 'male testes', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""raredisease waldenstrom's macroglobulinemia"", 'sign large numbers of b lymphocytes', 'produces')"
Jejunal-Atresia,"('raredisease jejunal atresia', 'sign partial absence of the fold of the stomach membrane that links the small intestine to the back wall of the abdomen', 'produces')"
Mikulicz-Syndrome,"('disease leukemia', 'sign glands in the mouth', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('raredisease asps', 'anaphor ""the tumor""', 'anaphora')"
Cleidocranial-Dysplasia,"('raredisease cleidocranial dysplasia', 'sign deformed thoracic region', 'produces')"
Kienbock-Disease,"('raredisease kienbock', 'sign stiffness in the overlying tissues', 'produces')"
Schindler-disease,"('raredisease schindler disease', 'sign glycosphingolipids', 'produces')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'sign respiratory muscles paralyzed', 'produces')"
Cornelia-de-Lange-Syndrome,"('skinraredisease cornelia de lange syndrome', 'sign small, short hands', 'produces')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign progressive arthritis', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('anaphor ""this disorder""', 'sign hypotonia', 'produces')"
Carnosinemia,"('anaphor ""this disorder""', 'sign seizures', 'produces')"
Primary-Lateral-Sclerosis,"('raredisease primary lateral sclerosis', 'sign painless but progressive weakness of the muscles of the legs', 'produces')"
Cat-Eye-Syndrome,"('raredisease ces', 'sign cleft or gap in the iris below the pupil', 'produces')"
Floating-Harbor-Syndrome,"('raredisease floating-harbor syndrome', 'anaphor ""these individuals""', 'anaphora')"
Arteriovenous-Malformation,"('raredisease avm', 'anaphor ""they form', 'produces')"
Cornelia-de-Lange-Syndrome,"('skinraredisease cornelia de lange syndrome', 'disease genetic disorder', 'is_a')"
Hypoplastic-Left-Heart-Syndrome,"('raredisease hypoplastic left heart syndrome', 'sign atrial septal defect', 'produces')"
Cat-Eye-Syndrome,"('raredisease ces', 'sign multiple severe malformations', 'produces')"
Banti_s-Syndrome,"('disease vascular obstruction', 'raredisease banti syndrome', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('raredisease batten turner type congenital myopathy', 'disease inherited muscle disease', 'is_a')"
Barakat-Syndrome,"('raredisease hypocalcemia', 'sign low blood calcium', 'produces')"
Antiphospholipid-Syndrome,"('raredisease antiphospholipid syndrome', 'sign strokes', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease cjd', 'sign irregular, rapid, shock-like muscle spasms', 'produces')"
Fetal-Valproate-Syndrome,"('raredisease fvs', 'sign developmental delay', 'increases_risk_of')"
Antiphospholipid-Syndrome,"('raredisease aps', 'raredisease aps', 'is_a')"
Jejunal-Atresia,"('raredisease jejunal atresia', 'sign atresia', 'produces')"
Empty-Sella-Syndrome,"('raredisease primary empty sella syndrome', 'anaphor ""the disorder""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'sign upper airway apnea', 'produces')"
Kienbock-Disease,"('raredisease kienbock disease', 'sign healing', 'produces')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign spleen prematurely destroyed', 'produces')"
Chromosome-14-Ring,"('raredisease chromosome 14 ring', 'sign ocular hypertelorism', 'produces')"
Buerger_s-Disease,"('anaphor ""it""', 'symptom cramping in the legs', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('anaphor ""it""', 'sign impaired immune system', 'produces')"
Primary-Lateral-Sclerosis,"('anaphor ""the disorder""', 'sign tremor', 'produces')"
West-Syndrome,"('raredisease west syndrome', 'sign intellectual disabilities', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('anaphor ""it""', 'sign abnormal growth of cartilage arising from the epiphysis', 'produces')"
Alagille-Syndrome,"('anaphor ""the disorder""', 'sign posterior embryotoxon', 'produces')"
Cornelia-de-Lange-Syndrome,"('skinraredisease cornelia de lange syndrome', 'sign clinodactyly', 'produces')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('anaphor ""the disorder""', 'sign accumulation of the compound succinic semialdehyde', 'produces')"
Fetal-Valproate-Syndrome,"('raredisease fvs', 'sign limb defects', 'increases_risk_of')"
Waldenstrom_s-Macroglobulinemia,"('raredisease wmg', 'symptom fatigue', 'produces')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign red blood cells before birth', 'produces')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('raredisease vlcadd', 'anaphor ""the disorder""', 'anaphora')"
Ewing-Sarcoma,"('raredisease ewing sarcoma of bone', 'anaphor ""these tumors""', 'anaphora')"
Myopathy-Congenital-Batten-Turner-Type,"('anaphor ""this disorder""', 'sign muscle weakness', 'produces')"
Fetal-Valproate-Syndrome,"('raredisease fvs and sign cleft lip', 'palate', 'increases_risk_of')"
Alagille-Syndrome,"('raredisease omim # 118450', 'raredisease alagille syndrome', 'is_acron')"
Jejunal-Atresia,"('raredisease jejunal atresia', 'anaphor ""the disorder""', 'anaphora')"
Alpers-Disease,"('raredisease alpers disease', 'sign hypotonia', 'produces')"
Primary-Lateral-Sclerosis,"('raredisease primary lateral sclerosis', 'sign bulbar muscles', 'produces')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign dark urine', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('anaphor ""this disorder""', 'sign general weaknessis', 'produces')"
Ameloblastic-Carcinoma,"('raredisease ameloblastic carcinoma', 'anaphor ""it""', 'anaphora')"
Creutzfeldt-Jakob-Disease,"('raredisease cjd', 'sign muscle wasting', 'produces')"
Hartnup-Disease,"('raredisease slc6a19 hartnup disease', 'anaphor ""it""', 'anaphora')"
Jejunal-Atresia,"('raredisease jejunal atresia', 'anaphor ""the disease""', 'anaphora')"
Laband-Syndrome,"('raredisease laband syndrome', 'sign dysplastic or absent nails', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""raredisease waldenstrom's macroglobulinemia"", 'sign thickened (viscous) blood', 'produces')"
Mikulicz-Syndrome,"('raredisease mikulicz syndrome and sign tonsils may be involved. the relationship between raredisease mikulicz syndrome', 'anaphor ""the disorder""', 'anaphora')"
Pseudo-Hurler-Polydystrophy,"('raredisease pseudo-hurler polydystrophy', 'sign mucolipids', 'produces')"
Lichen-Sclerosus,"('skinraredisease lichen sclerosus', 'sign lichen sclerosus', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('raredisease subacute sclerosing panencephalitis', 'disease progressive neurological disorder', 'is_a')"
Mikulicz-Syndrome,"('disease leukemia', 'sign swelling of the parotid glands', 'produces')"
Cat-Eye-Syndrome,"('raredisease cat eye syndrome', 'sign eye defect', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('raredisease alveolar soft part sarcoma', 'raredisease soft tissue tumor', 'is_a')"
Waldenstrom_s-Macroglobulinemia,"(""raredisease waldenstrom's macroglobulinemia"", 'sign lymph nodes', 'produces')"
Arthritis-Infectious,"('raredisease infectious arthritis', 'symptom painful swelling of one or more joints', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('anaphor ""this disorder""', 'sign slow, progressive loss of muscle tone', 'produces')"
Chromosome-6-Partial-Trisomy-6q,"('raredisease chromosome 6, partial trisomy 6q and sign malformations of the skull', 'facial (craniofacial) region', 'produces')"
Arteriovenous-Malformation,"('raredisease avm', 'sign lesions', 'produces')"
Acanthosis-Nigricans,"('skinraredisease acanthosis nigricans', 'disease skin condition', 'is_a')"
Alagille-Syndrome,"('raredisease alagille syndrome', 'sign congenital heart defects', 'produces')"
Ovotesticular-Disorder-of-Sex-Development,"('raredisease ovotesticular disorder of sex development', 'sign external genitalia', 'produces')"
Fetal-Valproate-Syndrome,"('raredisease fvs', 'sign cardiovascular abnormalities', 'increases_risk_of')"
Primary-Lateral-Sclerosis,"('sign muscle weakness', 'disease motor neuron diseases', 'produces')"
Arteriovenous-Malformation,"('raredisease avm', 'sign low pressure', 'produces')"
Ovotesticular-Disorder-of-Sex-Development,"('raredisease ovotesticular disorder of sex development', 'sign internal reproductive organs of both sexes', 'produces')"
Leukodystrophy,"('raredisease leukodystrophies', 'sign abnormal development or destruction of the white matter of the brain', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('raredisease deh', 'anaphor ""the disease""', 'anaphora')"
Carnosinemia,"('raredisease carnosinemia', 'sign intellectual disabilities', 'produces')"
Glucose,"('raredisease glucose-galactose malabsorption', 'anaphor ""it""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'sign central apnea', 'produces')"
Mikulicz-Syndrome,"('raredisease mikulicz syndrome', 'sign enlarged glands in the neck', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('raredisease batten turner type congenital myopathy', 'sign floppiness at birth', 'produces')"
Chromosome-14-Ring,"('raredisease chromosome 14 ring', 'sign microcephaly', 'produces')"
Cornelia-de-Lange-Syndrome,"('anaphor ""the disorder""', 'sign malformations of the hands', 'produces')"
Arthritis-Infectious,"('raredisease psoriatic arthritis', 'raredisease infectious arthritis', 'is_a')"
Mikulicz-Syndrome,"('disease tuberculosis', 'raredisease mikulicz syndrome', 'increases_risk_of')"
Agenesis-of-Corpus-Callosum,"('anaphor ""this condition""', 'sign subtle psychosocial symptoms', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease cjd', 'sign myoclonus', 'produces')"
Tinnitus,"('raredisease tinnitus', 'anaphor ""it""', 'anaphora')"
Arteriovenous-Malformation,"('raredisease avm', 'anaphor ""the lesion""', 'anaphora')"
Melorheostosis,"('raredisease melorheostosis', 'anaphor ""the disease""', 'anaphora')"
Myopathy-Congenital-Batten-Turner-Type,"('anaphor ""this disorder""', 'sign mild muscle weakness', 'produces')"
Mixed-Cryoglobulinemia,"('raredisease mixed cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign obstruction of veins of the liver', 'produces')"
Mikulicz-Syndrome,"('raredisease mikulicz syndrome', 'disease chronic condition', 'is_a')"
Chromosome-9-Ring,"('anaphor ""the chromosomal abnormality""', 'sign physical features', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease cjd', 'sign increased susceptibility to repeated infections of the respiratory tract', 'produces')"
Enterobiasis,"('raredisease enterobiasis', 'disease contagious, parasitic infestation', 'is_a')"
Subacute-Sclerosing-Panencephalitis,"('anaphor ""the disease""', 'sign memory loss', 'produces')"
Arteriovenous-Malformation,"('raredisease avm', 'sign pressure in the arteries', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease cjd', 'sign coma', 'produces')"
Laband-Syndrome,"('raredisease laband syndrome', 'sign abnormalities of the fingers', 'produces')"
Cat-Eye-Syndrome,"('raredisease cat eye syndrome', 'sign short arm, short stature', 'produces')"
Elephantiasis,"('raredisease elephantiasis', 'sign gross enlargement of the area of the body especially the external genitals', 'produces')"
Agenesis-of-Corpus-Callosum,"('raredisease acc', 'sign agenesis of corpus callosum', 'produces')"
Acanthosis-Nigricans,"('disease malignant an', 'skinraredisease acanthosis nigricans', 'increases_risk_of')"
Alpers-Disease,"('raredisease alpers disease', 'sign spleen failure', 'produces')"
Chromosome-9-Ring,"('anaphor ""the chromosomal abnormality""', 'sign genital abnormalities', 'produces')"
Chromosome-14-Ring,"('raredisease chromosome 14 ring', 'sign episodes of uncontrolled electrical activity in the brain', 'produces')"
Anemia-Hereditary-Nonspherocytic-Hemolytic,"('raredisease hereditary nonspherocytic hemolytic anemia', 'disease genetic blood disorders', 'is_a')"
Buerger_s-Disease,"(""raredisease buerger's disease"", 'sign peripheral vascular disease', 'produces')"
Pseudo-Hurler-Polydystrophy,"('raredisease pseudo-hurler polydystrophy', 'sign scoliosis', 'produces')"
Monilethrix,"('skinraredisease monilethrix', 'sign hair may break before reaching more than a few inches in length', 'produces')"
Barakat-Syndrome,"('raredisease hypocalcemia', 'sign convulsions', 'produces')"
Barakat-Syndrome,"('raredisease hypocalcemia', 'sign hematuria', 'produces')"
Dejerine,"('raredisease dss', 'sign muscle loss', 'produces')"
Empty-Sella-Syndrome,"('raredisease empty sella', 'sign completely empty sella', 'produces')"
Fetal-Valproate-Syndrome,"('raredisease fvs', 'sign genitourinary defects', 'increases_risk_of')"
Empty-Sella-Syndrome,"('disease pituitary tumor', 'raredisease empty sella syndrome', 'increases_risk_of')"
Mikulicz-Syndrome,"('raredisease mikulicz syndrome', 'sign salivary glands', 'produces')"
Balo-Disease,"('raredisease balo disease', 'anaphor ""the disease""', 'anaphora')"
Pediatric-Crohns-Disease,"(""raredisease crohn's disease"", 'anaphor ""it""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'anaphor ""the disorder""', 'anaphora')"
Chromosome-9-Ring,"('anaphor ""the chromosomal abnormality""', 'sign heart defects', 'produces')"
Ichthyosis-Lamellar,"('skinraredisease lamellar ichthyosis', 'sign skin cells are produced at a normal rate', 'produces')"
Enterobiasis,"('raredisease enterobiasis', 'anaphor ""the disorder""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'anaphor ""this disorder""', 'anaphora')"
Schindler-disease,"('raredisease schindler disease', 'sign oligosaccharides', 'produces')"
Pseudo-Hurler-Polydystrophy,"('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides', 'produces')"
Arteriovenous-Malformation,"('raredisease arteriovenous malformation and sign one or more direct connections between the arterial', 'venous circulation.', 'produces')"
Carnosinemia,"('raredisease carnosinemia', 'sign developmental retardation', 'produces')"
Lichen-Sclerosus,"('skinraredisease lichen sclerosus', 'sign functional impact', 'produces')"
Alagille-Syndrome,"('raredisease alagille syndrome', 'sign severe itching', 'produces')"
Pseudo-Hurler-Polydystrophy,"('raredisease pseudo-hurler polydystrophy', 'sign claw-hands', 'produces')"
Empty-Sella-Syndrome,"('raredisease empty sella', 'sign small associated pituitary gland', 'produces')"
Laband-Syndrome,"('raredisease laband syndrome', 'sign malformation or absence of the nails at birth', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""raredisease waldenstrom's macroglobulinemia"", 'anaphor ""this disorder""', 'anaphora')"
Creutzfeldt-Jakob-Disease,"('raredisease creutzfeldt-jakob disease', 'sign spongiform encephalopathy', 'produces')"
Leukodystrophy,"('raredisease leukodystrophies', 'sign burning paresthesia from peripheral neuropathy', 'produces')"
Kienbock-Disease,"('raredisease kienbock disease', 'sign short ulna', 'produces')"
Acanthosis-Nigricans,"('disease obesity', 'skinraredisease acanthosis nigricans', 'increases_risk_of')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign aged red blood cells', 'produces')"
Alagille-Syndrome,"('raredisease alagille syndrome', 'sign poor weight gain', 'produces')"
Arthritis-Infectious,"('raredisease chronic infectious arthritis', 'anaphor ""the disorder""', 'anaphora')"
Alpers-Disease,"('raredisease alpers disease', 'sign increased density of the gray matter in the brain', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""raredisease waldenstrom's macroglobulinemia"", 'sign spleen', 'produces')"
Alkaptonuria,"('raredisease alkaptonuria', 'anaphor ""this condition""', 'anaphora')"
Jejunal-Atresia,"('raredisease jejunal atresia', 'sign carrier for the disease', 'produces')"
Alpers-Disease,"('raredisease alpers disease and sign difficulty in math', 'writing', 'produces')"
Cat-Eye-Syndrome,"('raredisease cat eye syndrome', 'sign partial trisomy', 'produces')"
Enterobiasis,"('raredisease enterobiasis', 'sign severe rectal itching', 'produces')"
Alkaptonuria,"('anaphor ""this condition""', 'sign ochronosis', 'produces')"
